Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Martín Maldonado,35,113,379,344,40,64,12,0,15,45,0,0,22,116,.186,.248,.352,.600,70,121,6,7,4,2,0,maldoma01
2,1B,Yuli Gurriel,38,146,584,545,53,132,40,0,8,53,8,0,30,73,.242,.288,.360,.647,85,196,13,6,0,3,0,gourryu01
3,2B,Jose Altuve,32,141,604,527,103,158,39,0,28,57,18,1,66,87,.300,.387,.533,.921,161,281,13,10,0,1,2,altuvjo01
4,SS,Jeremy Peña,24,136,558,521,72,132,20,2,22,63,11,2,22,135,.253,.289,.426,.715,102,222,5,6,1,5,0,penaje02
5,3B,Alex Bregman,28,155,656,548,93,142,38,0,23,93,1,2,87,77,.259,.366,.454,.820,134,249,18,11,0,10,1,bregmal01
6,LF,Michael Brantley*,35,64,277,243,28,70,14,1,5,26,1,1,31,30,.288,.370,.416,.785,126,101,1,1,1,1,2,brantmi02
7,CF,Chas McCormick,27,119,407,359,47,88,12,2,14,44,4,3,46,106,.245,.332,.407,.738,111,146,5,1,0,1,0,mccorch01
8,RF,Kyle Tucker*,25,150,609,544,71,140,28,1,30,107,25,4,59,95,.257,.330,.478,.808,129,260,11,1,0,2,4,tuckeky01
9,DH,Yordan Alvarez*,25,135,561,470,95,144,29,2,37,97,1,1,78,106,.306,.406,.613,1.019,188,288,12,6,0,7,9,alvaryo01
10,UT,Aledmys Díaz,31,92,327,305,35,74,13,0,12,38,1,1,18,53,.243,.287,.403,.691,96,123,7,2,0,2,0,diazal02
11,CF,Mauricio Dubón,27,83,216,197,21,41,8,0,3,16,2,3,12,26,.208,.254,.294,.548,57,58,7,1,3,3,0,dubonma01
12,DH,Trey Mancini,30,51,186,165,17,29,7,0,8,22,0,0,18,49,.176,.258,.364,.622,76,60,8,1,0,2,0,mancitr01
13,CF,Jake Meyers,26,52,160,150,13,34,6,2,1,15,2,1,7,54,.227,.269,.313,.582,67,47,1,2,0,1,0,meyerja02
14,CF,Jose Siri,26,48,147,135,18,24,4,2,3,10,6,1,9,48,.178,.238,.304,.542,54,41,2,2,0,1,0,sirijo01
15,C,Christian Vázquez,31,35,108,104,8,26,3,0,1,10,0,2,4,18,.250,.278,.308,.585,68,32,3,0,0,0,0,vazquch01
16,C,Jason Castro*,35,34,88,78,6,9,2,0,1,3,1,0,8,40,.115,.205,.179,.384,12,14,1,1,0,1,0,castrja01
17,DH,J.J. Matijevic*,26,32,71,67,7,14,2,0,2,5,1,0,2,25,.209,.254,.328,.582,66,22,1,2,0,0,0,matijjj01
18,IF,Niko Goodrum#,30,15,45,43,2,5,2,0,0,1,1,0,2,23,.116,.156,.163,.318,-8,7,0,0,0,0,0,goodrni01
19,UT,David Hensley,26,16,34,29,7,10,2,1,1,5,0,0,5,6,.345,.441,.586,1.027,192,17,3,0,0,0,0,henslda01
20,C,Korey Lee,23,12,26,25,1,4,2,0,0,4,0,0,1,9,.160,.192,.240,.432,23,6,1,0,0,0,0,leeko01
21,DH,Yainer Diaz,23,6,9,8,0,1,1,0,0,1,0,0,1,2,.125,.222,.250,.472,36,2,0,0,0,0,0,diazya02
22,3B,Joe Perez,22,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,perezjo02
23,,Taylor Jones,28,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,jonesta01
24,P,Justin Verlander,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,verlaju01
25,P,Blake Taylor*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,taylobl01
26,P,Hunter Brown,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,brownhu01
27,P,Ryan Pressly,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pressry01
28,P,Jake Odorizzi,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,odorija01
29,P,Héctor Neris,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,nerishe01
30,P,Ronel Blanco,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,blancro01
31,P,Ryne Stanek,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,stanery01
32,P,Lance McCullers Jr.*,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mcculla02
33,P,Parker Mushinski*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mushipa01
34,P,Seth Martinez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,martise01
35,P,Will Smith,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,smithwi04
36,P,Cristian Javier,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,javiecr01
37,P,Phil Maton,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,matonph01
38,P,Brandon Bielak*,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,bielabr01
39,P,José Urquidy,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,urquijo01
40,P,Rafael Montero,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,montera01
41,P,Luis Garcia,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,garcilu05
42,P,Pedro Báez,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,baezpe01
43,P,Framber Valdez,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,valdefr01
44,P,Enoli Paredes,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pareden01
45,P,Bryan Abreu,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,abreubr01
,,Team Totals,29.4,162,6054,5409,737,1341,284,13,214,715,83,22,528,1179,.248,.319,.424,.743,111,2293,118,60,9,42,18,-9999
,,Rank in 15 AL teams,,,,12,3,6,4,11,2,,7,4,3,2,5,4,3,3,,3,,8,,8,,-9999
