Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Travis d'Arnaud,35,95,327,293,38,70,16,0,14,47,1,0,24,82,.239,.306,.437,.743,104,128,8,6,0,4,0,darnatr01
2,1B,Matt Olson*,30,156,660,578,77,142,37,1,29,98,0,0,69,162,.246,.332,.464,.795,119,268,15,8,0,5,5,olsonma02
3,2B,Ozzie Albies#,27,93,409,376,49,95,28,1,9,47,8,1,24,62,.253,.303,.404,.707,95,152,5,5,0,4,0,albieoz01
4,SS,Orlando Arcia,29,151,584,535,49,117,23,0,17,46,2,0,39,124,.219,.271,.357,.628,73,191,16,2,1,7,1,arciaor01
5,3B,Austin Riley (15-day IL),27,110,469,425,63,109,26,2,19,56,0,0,37,118,.256,.322,.461,.783,115,196,6,5,0,2,0,rileyau01
6,LF,Jarred Kelenic*,24,130,448,411,49,94,18,2,15,44,7,2,32,133,.229,.284,.392,.676,86,161,5,1,1,3,1,kelenja01
7,CF,Michael Harris II*,23,104,444,417,54,109,13,3,15,46,9,6,20,91,.261,.300,.415,.714,97,173,6,4,0,3,1,harrimi04
8,RF,Ronald Acuña Jr. (60-day IL),26,49,222,192,38,48,8,1,4,15,16,3,27,53,.250,.351,.365,.716,101,70,4,3,0,0,0,acunaro01
9,DH,Marcell Ozuna,33,156,663,585,94,181,31,0,38,101,0,0,70,164,.309,.384,.557,.941,158,326,22,3,0,4,2,ozunama01
10,OF,Adam Duvall,35,104,330,303,29,55,10,0,11,30,0,0,21,99,.182,.245,.323,.569,57,98,6,5,0,1,0,duvalad01
11,C,Sean Murphy,29,69,254,225,17,44,5,1,9,23,0,0,25,65,.196,.283,.347,.630,75,78,7,3,0,1,1,murphse01
12,OF,Ramón Laureano,29,61,201,192,26,58,12,1,9,26,4,2,7,55,.302,.333,.516,.849,132,99,3,2,0,0,0,laurera01
13,RF,Jorge Soler,32,43,162,136,25,32,8,0,9,24,0,0,21,40,.235,.348,.493,.840,131,67,0,3,0,1,0,solerjo01
