Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,William Contreras,26,150,659,579,96,165,37,2,23,92,7,2,74,134,.285,.367,.475,.842,133,275,19,3,0,3,5,contrwi02
2,1B,Rhys Hoskins,31,126,499,436,55,93,13,0,25,77,3,0,50,143,.213,.299,.415,.714,97,181,11,6,0,6,1,hoskirh01
3,2B,Brice Turang*,24,150,597,539,69,137,23,4,7,54,46,6,48,102,.254,.316,.351,.667,86,189,8,2,5,3,1,turanbr02
4,SS,Willy Adames,28,155,663,588,88,147,32,0,32,110,19,4,71,171,.250,.330,.468,.798,119,275,12,1,0,3,3,adamewi01
5,3B,Joey Ortiz,25,136,489,420,57,100,24,5,11,53,9,6,55,96,.238,.331,.398,.728,102,167,9,6,2,6,0,ortizjo06
6,LF,Jackson Chourio,20,142,550,505,79,138,28,4,21,78,21,7,39,115,.273,.328,.469,.797,119,237,7,3,1,2,4,chourja01
7,CF,Blake Perkins#,27,115,416,368,51,90,12,2,6,42,22,5,39,105,.245,.317,.337,.654,83,124,3,3,0,6,1,perkibl01
8,RF,Sal Frelick*,24,141,511,464,64,120,20,4,2,30,17,3,39,77,.259,.321,.332,.653,83,154,7,4,1,0,0,frelisa01
9,DH,Gary Sánchez,31,84,264,230,29,50,7,1,10,36,0,0,26,70,.217,.307,.387,.694,92,89,9,5,0,3,0,sanchga02
10,1B,Jake Bauers*,28,111,335,292,43,57,9,2,11,42,12,1,38,115,.195,.299,.353,.651,81,103,0,5,0,0,1,bauerja01
11,LF,Christian Yelich* (60-day IL),32,73,315,270,44,85,12,3,11,42,21,1,40,58,.315,.406,.504,.909,152,136,3,2,1,1,3,yelicch01
12,CF,Garrett Mitchell*,25,64,209,184,32,48,11,3,8,21,9,4,23,64,.261,.346,.484,.830,128,89,1,1,1,0,0,mitchga01
13,IF,Andruw Monasterio,27,57,137,120,14,25,5,0,1,14,6,2,16,37,.208,.307,.275,.582,65,33,3,1,0,0,0,monasan01
14,3B,Oliver Dunn* (60-day IL),26,41,104,95,11,21,2,2,1,7,3,0,6,40,.221,.282,.316,.597,67,30,1,2,1,0,0,dunnol01
15,C,Eric Haase,31,28,62,59,9,17,0,0,5,13,0,0,3,24,.288,.323,.542,.865,135,32,0,0,0,0,0,haaseer01
16,DH,Tyler Black* (40-man),23,18,57,49,4,10,2,0,0,2,3,0,7,17,.204,.316,.245,.561,60,12,0,1,0,0,0,blackty01
17,OF,Joey Wiemer,25,19,27,26,2,4,0,0,0,0,1,1,1,9,.154,.185,.154,.339,-4,4,0,0,0,0,0,wiemejo01
18,IF,Owen Miller,27,14,27,27,2,5,1,0,0,3,0,0,0,8,.185,.185,.222,.407,13,6,1,0,0,0,0,milleow01
19,UT,Isaac Collins#,26,8,11,10,0,1,0,0,0,0,1,0,1,5,.100,.182,.100,.282,-18,1,0,0,0,0,0,colliis01
20,IF,Vinny Capra (40-man),27,3,9,9,1,1,1,0,0,0,0,0,0,3,.111,.111,.222,.333,-10,2,1,0,0,0,0,capravi01
21,RF,Brewer Hicklen (40-man),28,3,5,5,0,0,0,0,0,0,1,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,hicklbr01
22,CF,Chris Roller,27,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,rollech01
23,P,Elieser Hernández,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hernael01
24,P,Colin Rea,33,0,0,,,,,,,,,,,,,,,,,,,,,,,reaco01
25,P,Janson Junk,28,0,0,,,,,,,,,,,,,,,,,,,,,,,junkja01
26,P,Joe Ross,31,0,0,,,,,,,,,,,,,,,,,,,,,,,rossjo01
27,P,DL Hall*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,halldl01
28,P,Joel Payamps,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,payamjo01
29,P,Carlos Rodriguez (40-man),22,0,0,,,,,,,,,,,,,,,,,,,,,,,rodrica02
30,P,Bryse Wilson (15-day IL),26,0,0,,,,,,,,,,,,,,,,,,,,,,,wilsobr02
31,P,Tyler Jay* (40-man),30,0,0,,,,,,,,,,,,,,,,,,,,,,,jayty01
32,P,Bryan Hudson* (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,hudsobr01
33,P,Aaron Ashby,26,0,0,,,,,,,,,,,,,,,,,,,,,,,ashbyaa01
34,P,Trevor Megill*,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,megiltr01
35,P,Wade Miley* (60-day IL),37,0,0,,,,,,,,,,,,,,,,,,,,,,,mileywa01
36,P,Bradley Blalock,23,0,0,,,,,,,,,,,,,,,,,,,,,,,blalobr01
37,P,Dallas Keuchel*,36,0,0,,,,,,,,,,,,,,,,,,,,,,,keuchda01
38,P,Elvis Peguero (40-man),27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pegueel01
39,P,Hoby Milner*,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,milneho01
40,P,Devin Williams,29,0,0,,,,,,,,,,,,,,,,,,,,,,,willide03
41,P,Robert Gasser* (60-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,gassero01
42,P,Tobias Myers,25,0,0,,,,,,,,,,,,,,,,,,,,,,,myersto01
43,P,Aaron Civale,29,0,0,,,,,,,,,,,,,,,,,,,,,,,civalaa01
44,P,Freddy Peralta,28,0,0,,,,,,,,,,,,,,,,,,,,,,,peralfr01
45,P,Frankie Montas,31,0,0,,,,,,,,,,,,,,,,,,,,,,,montafr02
46,P,Rob Zastryzny (60-day IL),32,0,0,,,,,,,,,,,,,,,,,,,,,,,zastrro01
47,P,Jakob Junis,31,0,0,,,,,,,,,,,,,,,,,,,,,,,junisja01
48,P,JB Bukauskas (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,bukaujb01
49,P,Thyago Vieira,31,0,0,,,,,,,,,,,,,,,,,,,,,,,vieirth01
50,P,Abner Uribe (7-day IL),24,0,0,,,,,,,,,,,,,,,,,,,,,,,uribeab01
51,P,Jared Koenig,30,0,0,,,,,,,,,,,,,,,,,,,,,,,koenija01
52,P,James Meeker,29,0,0,,,,,,,,,,,,,,,,,,,,,,,meekeja01
53,P,Mitch White,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,whitemi03
54,P,Kevin Herget*,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hergeke01
55,P,Enoli Paredes,28,0,0,,,,,,,,,,,,,,,,,,,,,,,pareden01
56,P,Nick Mears (15-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,mearsni01
