Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Freddy Peralta,28,11,8,.579,3.69,31,31,0,0,0,0,168.1,141,72,69,26,66,0,193,10,1,8,705,113,4.24,1.230,7.5,1.4,3.5,10.3,2.92,peralfr01
2,SP,Colin Rea,33,12,5,.706,4.20,30,26,1,0,0,1,160.2,157,78,75,28,40,0,128,9,0,1,677,99,4.75,1.226,8.8,1.6,2.2,7.2,3.20,reaco01
3,SP,Tobias Myers,25,8,6,.571,3.05,25,24,0,0,0,0,130.0,119,50,44,18,36,0,120,5,5,4,537,137,4.07,1.192,8.2,1.2,2.5,8.3,3.33,myersto01
4,SP,Aaron Civale,29,5,3,.625,3.84,13,13,0,0,0,0,68.0,62,31,29,13,24,0,60,2,0,0,288,109,5.03,1.265,8.2,1.7,3.2,7.9,2.50,civalaa01
5,SP,Frankie Montas,31,3,3,.500,4.56,10,10,0,0,0,0,53.1,45,31,27,9,22,0,64,0,0,0,227,92,4.20,1.256,7.6,1.5,3.7,10.8,2.91,montafr02
6,CL,Trevor Megill,30,1,3,.250,2.84,46,0,25,0,0,20,44.1,32,16,14,4,14,4,49,1,0,4,177,147,3.14,1.038,6.5,0.8,2.8,9.9,3.50,megiltr01
7,RP,Hoby Milner*,33,4,1,.800,4.82,58,1,11,0,0,1,61.2,61,36,33,6,14,2,62,1,0,0,255,87,3.15,1.216,8.9,0.9,2.0,9.0,4.43,milneho01
8,RP,Jared Koenig*,30,9,4,.692,2.55,53,5,5,0,0,1,60.0,53,22,17,4,22,4,61,4,0,0,258,164,3.30,1.250,8.0,0.6,3.3,9.2,2.77,koenija01
9,RP,Joel Payamps,30,3,7,.300,3.18,65,0,18,0,0,6,56.2,38,23,20,7,18,4,56,2,0,0,227,131,3.85,0.988,6.0,1.1,2.9,8.9,3.11,payamjo01
10,RP,Elvis Peguero (40-man),27,7,4,.636,2.98,52,0,8,0,0,2,51.1,52,22,17,4,27,3,47,2,1,6,227,140,4.04,1.539,9.1,0.7,4.7,8.2,1.74,pegueel01
