Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Brandon Pfaadt,25,10,9,.526,4.66,30,30,0,0,0,0,173.2,174,96,90,22,39,1,172,4,0,1,724,90,3.57,1.226,9.0,1.1,2.0,8.9,4.41,pfaadbr01
2,SP,Ryne Nelson (15-day IL),26,10,6,.625,4.33,27,25,0,0,0,0,147.2,154,73,71,17,34,2,125,5,0,4,621,97,3.76,1.273,9.4,1.0,2.1,7.6,3.68,nelsory01
3,SP,Zac Gallen,28,13,6,.684,3.74,27,27,0,0,0,0,142.0,131,61,59,13,52,0,145,4,0,5,599,112,3.50,1.289,8.3,0.8,3.3,9.2,2.79,galleza01
4,SP,Jordan Montgomery*,31,8,7,.533,6.23,25,21,3,0,0,1,117.0,149,83,81,14,44,3,83,2,0,7,532,67,4.48,1.650,11.5,1.1,3.4,6.4,1.89,montgjo01
5,SP,Slade Cecconi (40-man),25,2,7,.222,6.66,20,13,2,0,0,0,77.0,92,57,57,16,17,1,64,4,1,2,338,63,5.02,1.416,10.8,1.9,2.0,7.5,3.76,ceccosl01
6,SP,Merrill Kelly,35,5,0,1.000,3.71,12,12,0,0,0,0,68.0,59,30,28,11,18,0,55,1,1,1,273,114,4.49,1.132,7.8,1.5,2.4,7.3,3.06,kellyme01
7,CL,Paul Sewald (15-day IL),34,1,2,.333,4.31,42,0,34,0,0,16,39.2,35,19,19,6,10,1,43,3,0,0,165,98,3.95,1.134,7.9,1.4,2.3,9.8,4.30,sewalpa01
8,RP,Justin Martinez,22,5,6,.455,2.44,62,0,28,0,0,8,70.0,56,25,19,2,35,6,88,2,1,8,297,172,2.61,1.300,7.2,0.3,4.5,11.3,2.51,martiju01
9,RP,Kevin Ginkel,30,8,3,.727,3.33,69,0,14,0,0,5,67.2,66,31,25,6,15,0,73,3,0,4,281,127,2.96,1.197,8.8,0.8,2.0,9.7,4.87,ginkeke01
10,RP,Ryan Thompson,32,7,5,.583,3.36,65,0,4,0,0,2,64.1,64,26,24,5,15,2,51,1,0,2,266,125,3.34,1.228,9.0,0.7,2.1,7.1,3.40,thompry02
11,RP,Joe Mantiply*,33,6,2,.750,4.03,72,2,8,0,0,1,58.0,52,27,26,1,18,7,51,0,1,3,238,104,2.56,1.207,8.1,0.2,2.8,7.9,2.83,mantijo01
12,,Bryce Jarvis (60-day IL),26,1,2,.333,3.19,44,0,17,0,0,0,59.1,52,25,21,6,33,4,38,5,0,4,258,132,5.12,1.433,7.9,0.9,5.0,5.8,1.15,jarvibr01
13,,Eduardo Rodríguez*,31,3,4,.429,5.56,9,9,0,0,0,0,45.1,52,29,28,8,17,1,44,1,0,0,204,76,4.71,1.522,10.3,1.6,3.4,8.7,2.59,rodried05
14,,Tommy Henry* (40-man),26,2,3,.400,7.04,9,7,1,0,0,0,38.1,49,31,30,9,18,0,30,4,0,0,182,60,6.37,1.748,11.5,2.1,4.2,7.0,1.67,henryto01
15,,Scott McGough,34,1,3,.250,6.96,25,2,6,0,0,0,32.1,32,28,25,5,21,0,25,1,1,1,147,61,5.67,1.639,8.9,1.4,5.8,7.0,1.19,mcgousc01
16,,Logan Allen*,27,0,1,.000,5.46,12,0,4,0,0,1,28.0,32,17,17,3,10,0,21,2,0,0,128,78,4.34,1.500,10.3,1.0,3.2,6.8,2.10,allenlo01
17,,Yilber Diaz,23,1,1,.500,3.86,6,4,1,0,0,0,25.2,24,12,11,3,10,0,18,0,0,1,108,110,4.45,1.325,8.4,1.1,3.5,6.3,1.80,diazyi01
18,,A.J. Puk*,29,0,0,,0.36,27,0,5,0,0,2,25.0,11,1,1,0,4,2,41,1,0,0,91,1180,0.49,0.600,4.0,0.0,1.4,14.8,10.25,pukaj01
19,,Brandon Hughes*,28,0,0,,8.82,14,2,3,0,0,0,16.1,23,16,16,8,9,0,20,2,0,1,83,49,9.10,1.959,12.7,4.4,5.0,11.0,2.22,hughebr01
20,,Dylan Floro,33,3,1,.750,9.37,15,0,2,0,0,0,16.1,23,17,17,4,4,0,8,1,0,0,75,46,6.29,1.653,12.7,2.2,2.2,4.4,2.00,florody01
21,,Blake Walston*,23,1,0,1.000,3.38,6,2,3,0,0,0,16.0,12,7,6,1,10,0,17,3,0,0,71,127,4.29,1.375,6.8,0.6,5.6,9.6,1.70,walstbl01
22,,Thyago Vieira,31,0,1,.000,2.87,11,0,4,0,0,0,15.2,11,6,5,2,9,0,14,0,1,2,66,149,4.76,1.277,6.3,1.1,5.2,8.0,1.56,vieirth01
23,,Miguel Castro,29,0,0,,5.93,11,0,2,0,0,0,13.2,20,9,9,3,3,0,8,1,0,0,64,73,5.73,1.683,13.2,2.0,2.0,5.3,2.67,castrmi01
24,,Kyle Nelson* (60-day IL),27,0,0,,4.22,11,0,4,0,0,0,10.2,8,5,5,2,4,1,8,0,0,0,42,103,5.23,1.125,6.8,1.7,3.4,6.8,2.00,nelsoky01
25,,Humberto Castellanos,26,0,0,,5.23,7,0,4,0,0,1,10.1,11,6,6,0,4,0,7,2,0,1,48,83,3.55,1.452,9.6,0.0,3.5,6.1,1.75,castehu01
26,,Matt Bowman,33,0,0,,8.10,4,0,1,0,0,0,6.2,8,6,6,1,2,0,4,0,0,0,31,55,4.82,1.500,10.8,1.4,2.7,5.4,2.00,bowmama01
27,,Luis Frías,26,0,1,.000,9.95,7,0,4,0,0,0,6.1,11,8,7,1,4,0,7,0,0,1,31,45,4.90,2.368,15.6,1.4,5.7,9.9,1.75,friaslu01
28,,Cristian Mena (7-day IL),21,0,0,,12.00,1,1,0,0,0,0,3.0,4,4,4,2,3,0,2,0,1,0,15,39,13.50,2.333,12.0,6.0,9.0,6.0,0.67,menacr01
29,,Joe Jacques*,29,0,0,,13.50,1,0,0,0,0,0,1.1,3,2,2,1,1,0,0,0,0,0,7,40,15.17,3.000,20.3,6.8,6.8,0.0,0.00,jacqujo01
30,,Tucker Barnhart,33,0,0,,18.00,1,0,1,0,0,0,1.0,4,2,2,1,0,0,0,0,0,0,7,32,16.17,4.000,36.0,9.0,0.0,0.0,,barnhtu01
31,,Andrew Saalfrank*,26,0,0,,36.00,2,0,1,0,0,0,1.0,2,4,4,0,4,1,0,0,0,1,8,16,15.17,6.000,18.0,0.0,36.0,0.0,0.00,saalfan01
32,,Pavin Smith*,28,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,1,0,0,5,,9.17,1.000,0.0,0.0,9.0,0.0,0.00,smithpa04
,,Team Totals,28.2,87,70,.554,4.63,157,157,157,0,0,37,1398.1,1424,763,720,173,468,32,1262,53,7,49,6005,91,4.09,1.353,9.2,1.1,3.0,8.1,2.70,-9999
,,Rank in 15 NL teams,,5,10,,13,,,,10,8,9,2,14,13,13,8,6,,13,,,,,,,,,,,,,-9999
