Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Gavin Stone (15-day IL),25,11,5,.688,3.53,25,25,0,1,1,0,140.1,133,55,55,18,37,0,116,2,0,9,580,111,4.01,1.211,8.5,1.2,2.4,7.4,3.14,stonega01
2,SP,Tyler Glasnow (60-day IL),30,9,6,.600,3.49,22,22,0,0,0,0,134.0,92,53,52,15,35,0,168,0,1,12,522,112,2.90,0.948,6.2,1.0,2.4,11.3,4.80,glasnty01
3,SP,James Paxton*,35,8,2,.800,4.43,18,18,0,0,0,0,89.1,82,45,44,11,48,0,64,1,0,4,390,88,4.98,1.455,8.3,1.1,4.8,6.4,1.33,paxtoja01
4,SP,Yoshinobu Yamamoto,25,6,2,.750,2.96,17,17,0,0,0,0,85.0,74,30,28,6,22,0,99,1,0,2,350,132,2.57,1.129,7.8,0.6,2.3,10.5,4.50,yamamyo01
5,SP,Walker Buehler,29,1,6,.143,5.63,15,15,0,0,0,0,70.1,84,51,44,16,27,0,63,5,0,3,324,70,5.70,1.578,10.7,2.0,3.5,8.1,2.33,buehlwa01
6,SP,Bobby Miller (40-man),25,2,4,.333,8.52,13,13,0,0,0,0,56.0,69,53,53,17,30,0,52,2,0,7,258,46,6.97,1.768,11.1,2.7,4.8,8.4,1.73,millebo06
7,CL,Evan Phillips,29,4,1,.800,3.63,58,0,28,0,0,18,52.0,46,29,21,6,17,1,60,1,0,1,218,108,3.40,1.212,8.0,1.0,2.9,10.4,3.53,phillev01
8,RP,Alex Vesia*,28,4,4,.500,1.82,65,0,10,0,0,5,64.1,32,19,13,7,30,3,85,1,0,2,254,216,3.38,0.964,4.5,1.0,4.2,11.9,2.83,vesiaal01
9,RP,Daniel Hudson,37,6,2,.750,3.10,63,0,18,0,0,10,61.0,45,25,21,10,18,1,60,1,0,2,244,127,4.26,1.033,6.6,1.5,2.7,8.9,3.33,hudsoda01
10,RP,Anthony Banda* (15-day IL),30,2,2,.500,3.23,46,1,9,0,0,2,47.1,44,19,17,5,18,6,50,2,0,1,202,122,3.69,1.310,8.4,1.0,3.4,9.5,2.78,bandaan01
11,RP,Blake Treinen,36,7,3,.700,2.01,48,0,6,0,0,1,44.2,33,11,10,5,10,0,54,2,0,1,177,195,3.01,0.963,6.6,1.0,2.0,10.9,5.40,treinbl01
12,,Ryan Yarbrough*,32,4,2,.667,3.74,32,0,10,0,0,1,67.1,52,29,28,9,25,3,39,7,0,0,281,105,5.17,1.144,7.0,1.2,3.3,5.2,1.56,yarbrry01
13,,Landon Knack,26,3,4,.429,3.39,13,11,1,0,0,1,61.0,48,23,23,12,17,0,61,3,0,0,251,116,4.71,1.066,7.1,1.8,2.5,9.0,3.59,knackla01
14,,Michael Grove (40-man),27,4,4,.500,5.12,39,2,7,0,0,0,51.0,46,31,29,6,16,0,54,6,0,2,216,77,3.87,1.216,8.1,1.1,2.8,9.5,3.38,grovemi01
15,,Jack Flaherty,28,6,2,.750,3.40,9,9,0,0,0,0,50.1,48,20,19,8,16,0,56,1,0,2,213,116,4.02,1.272,8.6,1.4,2.9,10.0,3.50,flaheja01
16,,Brent Honeywell Jr.,29,1,1,.500,2.78,17,1,11,0,0,1,32.1,28,11,10,3,9,0,17,2,1,2,127,142,4.34,1.144,7.8,0.8,2.5,4.7,1.89,honeybr01
17,,Justin Wrobleski* (40-man),23,1,2,.333,6.40,7,6,0,0,0,0,32.1,32,24,23,9,14,0,22,1,0,1,140,62,6.82,1.423,8.9,2.5,3.9,6.1,1.57,wroblju01
18,,Joe Kelly,36,1,1,.500,4.99,34,0,2,0,0,0,30.2,31,19,17,4,16,1,34,5,2,3,139,79,4.70,1.533,9.1,1.2,4.7,10.0,2.13,kellyjo05
19,,Clayton Kershaw* (15-day IL),36,2,2,.500,4.50,7,7,0,0,0,0,30.0,36,19,15,2,9,1,24,2,1,2,133,88,3.53,1.500,10.8,0.6,2.7,7.2,2.67,kershcl01
20,,Yohan Ramírez,29,0,4,.000,5.52,27,0,8,0,0,1,29.1,32,21,18,3,11,1,27,7,0,1,134,72,4.50,1.466,9.8,0.9,3.4,8.3,2.45,ramiryo01
21,,Ryan Brasier,36,1,0,1.000,3.33,28,3,3,0,0,0,27.0,21,11,10,3,4,0,23,0,0,1,105,119,3.35,0.926,7.0,1.0,1.3,7.7,5.75,brasiry01
22,,Michael Kopech,28,4,0,1.000,1.29,21,0,7,0,0,5,21.0,8,3,3,1,9,0,25,0,0,1,77,309,2.69,0.810,3.4,0.4,3.9,10.7,2.78,kopecmi01
23,,River Ryan (60-day IL),25,1,0,1.000,1.33,4,4,0,0,0,0,20.1,15,4,3,1,9,0,18,0,0,0,81,299,3.36,1.180,6.6,0.4,4.0,8.0,2.00,ryanri01
24,,Michael Petersen,30,3,0,1.000,6.43,11,0,3,0,0,0,14.0,14,10,10,3,8,0,11,1,1,0,64,62,6.31,1.571,9.0,1.9,5.1,7.1,1.38,petermi01
25,,Nick Ramirez*,34,0,0,,6.08,8,0,7,0,0,0,13.1,18,11,9,0,7,1,5,0,0,2,63,66,3.99,1.875,12.2,0.0,4.7,3.4,0.71,ramirni01
26,,J.P. Feyereisen,31,0,1,.000,8.18,10,0,6,0,0,1,11.0,11,10,10,3,5,0,9,1,0,0,48,49,6.71,1.455,9.0,2.5,4.1,7.4,1.80,feyerjo01
27,,Elieser Hernández,29,0,1,.000,8.38,5,1,1,0,0,0,9.2,9,9,9,5,3,0,6,0,0,0,42,48,9.58,1.241,8.4,4.7,2.8,5.6,2.00,hernael01
28,,Nabil Crismatt,29,1,1,.500,2.57,5,0,4,0,0,0,7.0,7,3,2,1,0,0,6,0,0,0,26,160,3.31,1.000,9.0,1.3,0.0,7.7,,crismna01
29,,Kyle Hurt (40-man),26,0,1,.000,1.35,3,1,0,0,0,0,6.2,8,2,1,0,1,0,3,0,0,0,27,306,2.72,1.350,10.8,0.0,1.4,4.1,3.00,hurtky01
30,,Brusdar Graterol,25,0,0,,2.84,6,0,2,0,0,0,6.1,3,2,2,0,2,0,7,0,0,0,24,146,1.90,0.789,4.3,0.0,2.8,9.9,3.50,gratebr01
31,,Gus Varland,27,0,0,,3.00,7,0,2,0,0,0,6.0,7,3,2,1,4,0,3,1,0,0,30,138,6.83,1.833,10.5,1.5,6.0,4.5,0.75,varlagu01
32,,Enrique Hernández,32,0,0,,4.15,4,0,4,0,0,0,4.1,5,2,2,0,0,0,0,0,0,0,18,102,3.17,1.154,10.4,0.0,0.0,0.0,,hernaen02
33,,Dinelson Lamet,31,0,0,,2.08,3,0,2,0,0,1,4.1,2,2,1,1,2,1,3,0,0,1,18,205,6.17,0.923,4.2,2.1,4.2,6.2,1.50,lametdi01
34,,Ben Casparius,25,1,0,1.000,2.25,2,0,0,0,0,0,4.0,3,1,1,0,2,0,5,0,0,0,16,190,2.17,1.250,6.8,0.0,4.5,11.3,2.50,caspabe01
35,,Eduardo Salazar,26,0,0,,0.00,1,0,1,0,0,0,2.0,3,1,0,0,2,0,3,0,0,0,10,,3.17,2.500,13.5,0.0,9.0,13.5,1.50,salazed01
36,,Zach Logue* (40-man),28,0,0,,18.00,2,0,1,0,0,0,2.0,6,4,4,1,0,0,4,0,0,0,12,26,5.67,3.000,27.0,4.5,0.0,18.0,,logueza01
37,,Ricky Vanasco,25,0,0,,13.50,2,0,1,0,0,0,2.0,3,3,3,0,0,0,1,0,0,0,9,35,2.17,1.500,13.5,0.0,0.0,4.5,,vanasri01
38,,Miguel Rojas,35,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.17,1.000,9.0,0.0,0.0,0.0,,rojasmi02
39,,Connor Brogdon (60-day IL),29,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,2,0,0,0,0,0,0,5,30,29.17,2.000,18.0,18.0,0.0,0.0,,brogdco01
,,Team Totals,29.4,93,63,.596,3.95,156,156,155,1,1,47,1391.2,1233,670,611,194,483,19,1337,55,6,62,5832,99,4.22,1.233,8.0,1.3,3.1,8.6,2.77,-9999
,,Rank in 15 NL teams,,1,15,,7,,,,4,4,3,6,2,7,7,14,10,,7,,,,,,,,,,,,,-9999
