Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Charlie Morton,37,14,6,.700,3.34,33,33,0,0,0,0,185.2,136,77,69,16,58,1,216,17,0,5,756,130,3.18,1.045,6.6,0.8,2.8,10.5,3.72,mortoch02
2,SP,Max Fried*,27,14,7,.667,3.04,28,28,0,2,2,0,165.2,139,61,56,15,41,0,158,7,0,7,667,143,3.31,1.087,7.6,0.8,2.2,8.6,3.85,friedma01
3,SP,Ian Anderson,23,9,5,.643,3.58,24,24,0,0,0,0,128.1,105,51,51,16,53,2,124,1,0,7,535,121,4.12,1.231,7.4,1.1,3.7,8.7,2.34,anderia01
4,SP,Drew Smyly*,32,11,4,.733,4.48,29,23,2,0,0,0,126.2,133,69,63,27,41,3,117,2,1,5,546,97,5.11,1.374,9.5,1.9,2.9,8.3,2.85,smylydr01
5,SP,Huascar Ynoa,23,4,6,.400,4.05,18,17,0,0,0,0,91.0,76,42,41,14,25,1,100,4,0,4,372,107,3.93,1.110,7.5,1.4,2.5,9.9,4.00,ynoahu01
6,CL,Will Smith*,31,3,7,.300,3.44,71,0,60,0,0,37,68.0,49,27,26,11,28,2,87,5,0,3,283,127,4.17,1.132,6.5,1.5,3.7,11.5,3.11,smithwi04
7,RP,Luke Jackson,29,2,2,.500,1.98,71,0,5,0,0,0,63.2,45,15,14,6,29,2,70,2,1,3,261,220,3.66,1.162,6.4,0.8,4.1,9.9,2.41,jackslu01
8,RP,Tyler Matzek*,30,0,4,.000,2.57,69,0,13,0,0,0,63.0,40,19,18,3,37,5,77,2,0,6,264,169,3.20,1.222,5.7,0.4,5.3,11.0,2.08,matzety01
9,RP,A.J. Minter*,27,3,6,.333,3.78,61,0,4,0,0,0,52.1,44,27,22,2,20,0,57,1,2,0,221,115,2.69,1.223,7.6,0.3,3.4,9.8,2.85,minteaj01
10,RP,Chris Martin,35,2,4,.333,3.95,46,0,8,0,0,1,43.1,49,20,19,4,6,1,33,3,0,0,181,111,3.47,1.269,10.2,0.8,1.2,6.9,5.50,martich02
11,,Touki Toussaint,25,3,3,.500,4.50,11,10,1,0,0,0,50.0,43,28,25,11,22,1,48,6,0,2,216,97,5.79,1.300,7.7,2.0,4.0,8.6,2.18,toussto01
12,,Josh Tomlin,36,4,0,1.000,6.57,35,0,6,0,0,0,49.1,69,36,36,10,5,0,37,1,1,0,218,66,4.67,1.500,12.6,1.8,0.9,6.8,7.40,tomlijo01
13,,Edgar Santana,29,3,0,1.000,3.59,41,0,13,0,0,0,42.2,37,20,17,7,12,1,33,0,2,1,175,122,4.60,1.148,7.8,1.5,2.5,7.0,2.75,santaed01
14,,Kyle Muller*,23,2,4,.333,4.17,9,8,0,0,0,0,36.2,26,17,17,2,20,1,37,2,0,9,155,105,3.66,1.255,6.4,0.5,4.9,9.1,1.85,mulleky01
15,,Jacob Webb,27,5,4,.556,4.19,34,0,15,0,0,1,34.1,38,22,16,4,14,4,33,1,0,3,153,104,4.07,1.515,10.0,1.0,3.7,8.7,2.36,webbja01
16,,Bryse Wilson,23,2,3,.400,5.88,8,8,0,0,0,0,33.2,45,23,22,7,12,2,23,1,1,1,153,74,5.67,1.693,12.0,1.9,3.2,6.1,1.92,wilsobr02
17,,Jesse Chavez,37,3,2,.600,2.14,30,4,6,0,0,0,33.2,23,9,8,0,11,1,36,0,0,3,133,205,2.01,1.010,6.1,0.0,2.9,9.6,3.27,chaveje01
18,,Sean Newcomb*,28,2,0,1.000,4.73,32,0,5,0,0,1,32.1,28,17,17,1,27,1,43,2,0,5,150,93,3.60,1.701,7.8,0.3,7.5,12.0,1.59,newcose01
19,,Richard Rodríguez,31,1,2,.333,3.12,27,0,3,0,0,0,26.0,23,9,9,6,5,1,9,1,0,2,106,141,6.17,1.077,8.0,2.1,1.7,3.1,1.80,rodriri05
20,,Tucker Davidson*,25,0,0,,3.60,4,4,0,0,0,0,20.0,15,8,8,3,8,0,18,0,0,0,83,122,4.52,1.150,6.8,1.4,3.6,8.1,2.25,davidtu01
21,,Shane Greene,32,0,1,.000,8.47,19,0,5,0,0,0,17.0,22,16,16,5,9,0,17,1,0,0,83,52,6.76,1.824,11.6,2.6,4.8,9.0,1.89,greensh02
22,,Grant Dayton*,33,0,0,,6.23,13,0,3,0,0,0,13.0,15,10,9,2,6,1,14,0,0,0,61,71,4.40,1.615,10.4,1.4,4.2,9.7,2.33,daytogr01
23,,Jesse Biddle*,29,0,0,,8.44,8,0,5,0,0,0,10.2,10,10,10,1,8,0,11,2,0,4,51,53,5.14,1.688,8.4,0.8,6.8,9.3,1.38,biddlje01
24,,Nate Jones,35,0,2,.000,3.48,12,0,4,0,0,0,10.1,8,6,4,3,10,4,7,1,0,1,50,129,8.78,1.742,7.0,2.6,8.7,6.1,0.70,jonesna01
25,,Kyle Wright,25,0,1,.000,9.95,2,2,0,0,0,0,6.1,7,7,7,2,5,0,6,4,0,1,35,46,9.64,1.895,9.9,2.8,7.1,8.5,1.20,wrighky01
26,,Spencer Strider,22,1,0,1.000,3.86,2,0,0,0,0,0,2.1,2,1,1,1,1,0,0,0,0,0,9,129,10.03,1.286,7.7,3.9,3.9,0.0,0.00,stridsp01
27,,Dylan Lee*,26,0,0,,9.00,2,0,0,0,0,0,2.0,3,2,2,1,0,0,3,0,0,0,9,57,6.67,1.500,13.5,4.5,0.0,13.5,,leedy01
28,,Jay Flaa,29,0,0,,27.00,1,0,0,0,0,0,1.1,3,4,4,2,1,0,2,0,0,0,8,20,21.92,3.000,20.3,13.5,6.8,13.5,2.00,flaaja01
29,,Ty Tice,24,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,5,,6.17,2.000,9.0,0.0,9.0,0.0,0.00,ticety01
30,,Carl Edwards Jr.,29,0,0,,81.00,1,0,0,0,0,0,0.1,3,3,3,1,1,0,1,0,0,1,5,11,45.17,12.000,81.0,27.0,27.0,27.0,1.00,edwarca01
,,Team Totals,29.4,88,73,.547,3.88,161,161,159,2,2,40,1410.2,1237,656,608,183,516,34,1417,66,8,73,5944,112,4.09,1.243,7.9,1.2,3.3,9.0,2.75,-9999
,,Rank in 15 NL teams,,5,11,,4,,,,5,2,8,11,5,4,5,6,5,,8,,,,,,,,,,,,,-9999
