Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Framber Valdez*,30,14,7,.667,2.85,27,27,0,1,0,0,170.2,132,57,54,12,53,0,165,6,1,8,677,139,3.18,1.084,7.0,0.6,2.8,8.7,3.11,valdefr01
2,SP,Hunter Brown,25,11,9,.550,3.49,31,30,0,0,0,0,170.0,156,71,66,18,60,0,179,5,1,4,712,113,3.58,1.271,8.3,1.0,3.2,9.5,2.98,brownhu01
3,SP,Ronel Blanco,30,12,6,.667,2.88,29,28,1,1,1,0,162.1,113,56,52,22,66,0,163,2,0,3,659,137,4.18,1.103,6.3,1.2,3.7,9.0,2.47,blancro01
4,SP,Spencer Arrighetti,24,7,13,.350,4.61,28,28,0,0,0,0,142.2,139,80,73,21,62,0,167,6,0,3,621,86,4.17,1.409,8.8,1.3,3.9,10.5,2.69,arrigsp01
5,SP,Justin Verlander,41,4,6,.400,5.55,16,16,0,0,0,0,84.1,91,53,52,14,27,0,69,6,1,2,371,71,4.86,1.399,9.7,1.5,2.9,7.4,2.56,verlaju01
6,CL,Josh Hader*,30,8,8,.500,3.67,69,0,60,0,0,33,68.2,41,31,28,12,24,0,101,1,2,4,268,108,3.59,0.947,5.4,1.6,3.1,13.2,4.21,haderjo01
7,RP,Bryan Abreu,27,3,3,.500,3.18,76,0,3,0,0,1,76.1,59,27,27,9,32,0,100,6,1,4,319,125,3.57,1.192,7.0,1.1,3.8,11.8,3.13,abreubr01
8,RP,Tayler Scott (15-day IL),32,7,3,.700,2.23,62,1,11,0,0,0,68.2,45,21,17,7,35,1,71,4,0,0,282,178,4.13,1.165,5.9,0.9,4.6,9.3,2.03,scottta02
9,RP,Ryan Pressly,35,2,3,.400,3.60,57,0,8,0,0,4,55.0,56,25,22,4,17,0,58,2,0,6,236,110,3.04,1.327,9.2,0.7,2.8,9.5,3.41,pressry01
10,RP,Seth Martinez,29,3,2,.600,3.59,44,0,14,0,0,1,52.2,49,24,21,7,18,1,36,4,2,0,222,111,4.78,1.272,8.4,1.2,3.1,6.2,2.00,martise01
11,,Yusei Kikuchi*,33,5,0,1.000,3.00,9,9,0,0,0,0,54.0,38,20,18,8,13,0,68,0,0,2,215,133,3.30,0.944,6.3,1.3,2.2,11.3,5.23,kikucyu01
12,,Shawn Dubin (40-man),28,1,1,.500,4.15,29,2,10,0,0,1,43.1,43,22,20,2,26,0,45,2,0,1,196,96,3.63,1.592,8.9,0.4,5.4,9.3,1.73,dubinsh01
13,,Rafael Montero,33,1,2,.333,4.70,41,0,7,0,0,0,38.1,35,21,20,8,19,0,23,3,0,0,164,85,6.40,1.409,8.2,1.9,4.5,5.4,1.21,montera01
14,,Cristian Javier (60-day IL),27,3,1,.750,3.89,7,7,0,0,0,0,34.2,30,16,15,4,19,0,27,0,0,1,150,103,4.75,1.413,7.8,1.0,4.9,7.0,1.42,javiecr01
15,,Bryan King*,27,1,0,1.000,2.39,28,0,7,0,0,0,26.1,20,7,7,1,10,0,32,3,0,0,109,168,2.71,1.139,6.8,0.3,3.4,10.9,3.20,kingbr02
16,,J.P. France (60-day IL),29,0,3,.000,7.46,5,5,0,0,0,0,25.1,31,21,21,5,12,0,22,1,1,3,121,54,5.53,1.697,11.0,1.8,4.3,7.8,1.83,francjp01
17,,Kaleb Ort,32,1,1,.500,2.55,22,0,6,0,0,0,24.2,16,7,7,7,4,0,26,0,0,1,93,157,5.23,0.811,5.8,2.6,1.5,9.5,6.50,ortka01
18,,Caleb Ferguson*,27,0,1,.000,4.05,19,0,7,0,0,0,20.0,22,10,9,1,9,0,25,2,0,1,91,99,2.97,1.550,9.9,0.5,4.1,11.3,2.78,ferguca01
19,,Brandon Bielak,28,0,0,,5.71,10,0,5,0,0,0,17.1,22,11,11,3,7,0,9,2,0,1,83,71,5.94,1.673,11.4,1.6,3.6,4.7,1.29,bielabr01
20,,Héctor Neris,35,2,1,.667,4.05,14,0,2,0,0,1,13.1,11,8,6,3,2,0,14,1,1,1,54,100,4.67,0.975,7.4,2.0,1.4,9.5,7.00,nerishe01
21,,Jake Bloss,23,0,1,.000,6.94,3,3,0,0,0,0,11.2,16,9,9,5,3,0,11,0,0,2,55,59,7.62,1.629,12.3,3.9,2.3,8.5,3.67,blossja01
