Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Chris Sale*,35,18,3,.857,2.38,29,29,0,0,0,0,177.2,141,48,47,9,39,0,225,8,1,4,702,175,2.09,1.013,7.1,0.5,2.0,11.4,5.77,salech01
2,SP,Max Fried*,30,10,10,.500,3.42,28,28,0,2,1,0,165.2,143,71,63,13,55,0,157,7,0,6,684,121,3.41,1.195,7.8,0.7,3.0,8.5,2.85,friedma01
3,SP,Charlie Morton,40,8,9,.471,4.08,29,29,0,0,0,0,161.0,149,81,73,21,63,1,164,18,1,2,683,102,4.33,1.317,8.3,1.2,3.5,9.2,2.60,mortoch02
4,SP,Reynaldo López (15-day IL),30,8,5,.615,2.03,24,24,0,0,0,0,128.2,106,31,29,10,42,0,137,2,1,2,521,205,3.07,1.150,7.4,0.7,2.9,9.6,3.26,lopezre01
5,SP,Spencer Schwellenbach,24,7,7,.500,3.61,19,19,0,0,0,0,109.2,99,47,44,13,22,1,118,6,0,3,449,115,3.32,1.103,8.1,1.1,1.8,9.7,5.36,schwesp01
6,SP,Bryce Elder (40-man),25,2,5,.286,6.52,10,10,0,0,0,0,49.2,64,37,36,8,17,0,46,2,0,3,226,64,4.56,1.631,11.6,1.4,3.1,8.3,2.71,elderbr01
7,CL,Raisel Iglesias,34,5,2,.714,1.78,61,0,48,0,0,32,65.2,35,17,13,3,13,3,66,3,0,1,246,234,2.48,0.731,4.8,0.4,1.8,9.0,5.08,iglesra01
8,RP,Joe Jiménez,29,1,5,.167,2.34,65,0,7,0,0,3,65.1,41,19,17,2,21,1,79,4,0,0,261,178,2.29,0.949,5.6,0.3,2.9,10.9,3.76,jimenjo02
9,RP,Dylan Lee*,29,4,2,.667,2.16,50,0,8,0,0,0,58.1,48,19,14,7,17,4,73,0,0,0,235,193,3.10,1.114,7.4,1.1,2.6,11.3,4.29,leedy01
10,RP,Pierce Johnson,33,6,5,.545,3.46,56,0,11,0,0,2,54.2,45,23,21,5,24,1,65,2,0,2,228,121,3.40,1.262,7.4,0.8,4.0,10.7,2.71,johnspi01
11,RP,Aaron Bummer*,30,4,3,.571,3.62,55,0,13,0,0,0,54.2,61,24,22,2,17,2,68,2,0,2,241,115,2.20,1.427,10.0,0.3,2.8,11.2,4.00,bummeaa01
12,,Jesse Chavez,40,2,2,.500,3.13,46,0,16,0,0,0,63.1,60,27,22,10,19,1,55,1,1,0,264,133,4.43,1.247,8.5,1.4,2.7,7.8,2.89,chaveje01
13,,Grant Holmes,28,2,1,.667,3.88,24,6,7,0,0,0,62.2,65,27,27,7,14,2,61,2,0,2,263,108,3.44,1.261,9.3,1.0,2.0,8.8,4.36,holmegr01
14,,A.J. Minter* (60-day IL),30,5,4,.556,2.62,39,0,10,0,0,1,34.1,24,10,10,6,11,1,35,1,0,0,134,160,4.45,1.019,6.3,1.6,2.9,9.2,3.18,minteaj01
15,,Ray Kerr* (60-day IL),29,1,2,.333,5.64,10,2,3,0,0,0,22.1,29,14,14,4,7,0,27,3,0,2,103,75,4.42,1.612,11.7,1.6,2.8,10.9,3.86,kerrra01
16,,Luke Jackson,32,0,1,.000,4.58,15,0,6,0,0,0,17.2,17,11,9,2,11,0,25,1,0,2,83,92,3.85,1.585,8.7,1.0,5.6,12.7,2.27,jackslu01
17,,Daysbel Hernández,27,2,0,1.000,3.07,14,0,6,0,0,0,14.2,10,6,5,0,9,1,19,0,0,1,62,139,2.42,1.295,6.1,0.0,5.5,11.7,2.11,hernada03
18,,Darius Vines (60-day IL),26,0,1,.000,8.56,4,2,1,0,0,0,13.2,21,14,13,4,4,0,9,1,0,0,66,50,6.75,1.829,13.8,2.6,2.6,5.9,2.25,vinesda01
19,,Jimmy Herget,30,0,1,.000,4.38,8,0,7,0,0,0,12.1,13,6,6,2,3,0,15,0,0,0,52,98,3.57,1.297,9.5,1.5,2.2,10.9,5.00,hergeji01
20,,Tyler Matzek*,33,0,0,,9.90,11,0,1,0,0,0,10.0,16,11,11,3,3,0,10,0,0,2,48,43,5.97,1.900,14.4,2.7,2.7,9.0,3.33,matzety01
21,,Spencer Strider (60-day IL),25,0,0,,7.00,2,2,0,0,0,0,9.0,10,7,7,2,5,0,12,0,0,0,42,62,5.05,1.667,10.0,2.0,5.0,12.0,2.40,stridsp01
22,,Allan Winans (40-man),28,0,2,.000,15.26,2,2,0,0,0,0,7.2,14,14,13,3,4,0,4,0,0,0,41,28,8.77,2.348,16.4,3.5,4.7,4.7,1.00,winanal01
23,,Hurston Waldrep (40-man),22,0,1,.000,16.71,2,2,0,0,0,0,7.0,9,13,13,3,8,0,3,1,0,0,36,26,11.74,2.429,11.6,3.9,10.3,3.9,0.38,waldrhu01
24,,John Brebbia,34,0,0,,2.70,5,0,2,0,0,0,6.2,4,2,2,2,2,0,9,0,0,0,26,162,5.27,0.900,5.4,2.7,2.7,12.2,4.50,brebbjo01
25,,AJ Smith-Shawver (40-man),21,0,0,,0.00,1,1,0,0,0,0,4.1,3,0,0,0,2,0,4,0,0,0,18,,2.70,1.154,6.2,0.0,4.2,8.3,2.00,smithaj01
26,,Luke Williams (40-man),27,0,0,,4.50,3,0,3,0,0,0,4.0,5,2,2,0,1,0,0,1,0,0,19,101,4.67,1.500,11.3,0.0,2.3,0.0,0.00,willilu01
27,,Jackson Stephens,30,0,0,,2.70,3,0,3,0,0,0,3.1,5,1,1,1,1,0,2,1,0,0,17,171,7.67,1.800,13.5,2.7,2.7,5.4,2.00,stephja01
28,,Parker Dunshee,29,0,0,,19.29,1,0,0,0,0,0,2.1,4,5,5,2,2,0,3,1,0,0,14,25,15.59,2.571,15.4,7.7,7.7,11.6,1.50,dunshpa01
29,,Dylan Dodd* (40-man),26,0,0,,9.00,1,0,1,0,0,0,2.0,4,2,2,0,1,0,2,0,0,0,9,55,2.67,2.500,18.0,0.0,4.5,9.0,2.00,dodddy01
30,,Luis Guillorme,29,0,0,,36.00,1,0,1,0,0,0,1.0,3,4,4,1,1,0,0,0,0,0,7,16,19.17,4.000,27.0,9.0,9.0,0.0,0.00,guilllu01
,,Team Totals,31.6,85,71,.545,3.53,156,156,154,2,1,38,1389.1,1248,593,545,145,438,18,1493,67,4,34,5780,118,3.46,1.214,8.1,0.9,2.8,9.7,3.41,-9999
,,Rank in 15 NL teams,,7,9,,1,,,,2,1,8,8,4,1,1,1,2,,1,,,,,,,,,,,,,-9999
