Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Bo Naylor*,24,119,375,341,39,69,10,2,13,39,6,2,28,116,.202,.265,.358,.623,75,122,3,2,2,2,1,naylobo01
2,1B,Josh Naylor*,27,148,617,550,82,132,26,0,31,105,6,2,56,101,.240,.317,.456,.773,116,251,17,7,0,3,7,naylojo01
3,2B,Andrés Giménez*,25,148,619,569,64,146,22,1,9,63,30,5,26,95,.257,.304,.346,.650,84,197,11,15,3,6,1,gimenan01
4,SS,Brayan Rocchio#,23,139,430,372,50,78,17,0,8,36,10,6,43,84,.210,.301,.320,.621,77,119,10,8,2,5,1,rocchbr01
5,3B,José Ramírez#,31,154,666,606,109,166,36,1,37,112,40,7,53,81,.274,.331,.520,.851,136,315,9,1,0,5,12,ramirjo01
6,LF,Steven Kwan* (10-day IL),26,120,532,475,81,138,16,3,13,43,12,5,51,50,.291,.364,.419,.783,122,199,5,4,2,0,0,kwanst01
7,CF,Tyler Freeman (40-man),25,118,383,330,48,69,14,1,7,32,11,6,28,53,.209,.305,.321,.626,78,106,15,19,3,3,1,freemty01
8,RF,Will Brennan*,26,110,343,321,35,81,11,2,8,30,4,1,18,48,.252,.297,.374,.671,89,120,8,3,0,1,2,brennwi02
9,DH,David Fry,28,121,391,334,44,87,17,1,14,50,4,1,42,84,.260,.355,.443,.798,125,148,13,9,0,4,4,fryda01
10,UT,Daniel Schneemann*,27,72,218,191,17,42,10,2,5,22,3,2,24,70,.220,.303,.372,.674,90,71,1,0,0,3,0,schneda04
11,RF,Jhonkensy Noel,22,63,190,171,25,38,7,1,13,28,0,0,13,60,.222,.295,.503,.798,121,86,1,5,0,1,0,noeljh01
12,CF,Lane Thomas,28,49,172,157,21,34,10,0,6,20,4,2,12,62,.217,.279,.395,.674,88,62,1,2,0,1,1,thomala02
13,OF,Angel Martínez#,22,40,164,146,15,35,7,0,3,10,3,1,15,31,.240,.307,.349,.656,86,51,2,0,1,2,0,martian02
14,IF,Gabriel Arias (40-man),24,53,161,153,15,34,9,1,3,15,5,2,6,53,.222,.255,.353,.608,70,54,4,1,0,1,0,ariasga01
15,C,Austin Hedges,31,66,146,132,12,20,3,0,2,15,2,0,6,50,.152,.203,.220,.422,20,29,2,3,3,2,0,hedgeau01
16,DH,Kyle Manzardo*,23,49,140,130,9,32,12,0,4,14,0,0,8,36,.246,.293,.431,.724,102,56,2,1,0,1,0,manzaky01
17,OF,Estevan Florial*,26,36,111,98,11,17,6,2,3,11,2,1,11,41,.173,.264,.367,.631,77,36,2,1,1,0,0,flories01
18,OF,Ramón Laureano,29,31,83,70,7,10,3,0,1,4,3,1,7,32,.143,.265,.229,.494,42,16,1,5,0,1,0,laurera01
19,RF,Johnathan Rodríguez (40-man),24,13,40,31,6,4,1,0,0,5,0,0,9,14,.129,.325,.161,.486,45,5,1,0,0,0,0,rodrijo10
20,3B,José Tena*,23,3,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,tenajo01
21,DH,Myles Straw,29,6,3,3,2,1,0,0,0,0,2,0,0,0,.333,.333,.333,.667,90,1,0,0,0,0,0,strawmy01
22,P,Anthony Gose*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,gosean01
23,P,Triston McKenzie (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,mckentr01
24,P,Xzavion Curry,25,0,0,,,,,,,,,,,,,,,,,,,,,,,curryxz01
25,P,Emmanuel Clase,26,0,0,,,,,,,,,,,,,,,,,,,,,,,claseem01
26,P,Peter Strzelecki (40-man),29,0,0,,,,,,,,,,,,,,,,,,,,,,,strzepe01
27,P,Carlos Carrasco,37,0,0,,,,,,,,,,,,,,,,,,,,,,,carraca01
28,P,Spencer Howard,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,howarsp01
29,P,Wes Parsons,31,0,0,,,,,,,,,,,,,,,,,,,,,,,parsowe01
30,P,Ben Lively,32,0,0,,,,,,,,,,,,,,,,,,,,,,,livelbe01
31,P,Shane Bieber (60-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,biebesh01
32,P,Logan Allen (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,allenlo02
33,P,Scott Barlow,31,0,0,,,,,,,,,,,,,,,,,,,,,,,barlosc01
34,P,Tyler Beede,31,0,0,,,,,,,,,,,,,,,,,,,,,,,beedety01
35,P,Hunter Gaddis,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gaddihu01
36,P,Eli Morgan,28,0,0,,,,,,,,,,,,,,,,,,,,,,,morgael01
37,P,Gavin Williams*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,williga01
38,P,Tim Herrin*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,herriti01
39,P,Pedro Avila,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,avilape01
40,P,Matthew Boyd*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,boydma01
41,P,Nick Sandlin,27,0,0,,,,,,,,,,,,,,,,,,,,,,,sandlni01
42,P,Alex Cobb (15-day IL),36,0,0,,,,,,,,,,,,,,,,,,,,,,,cobbal01
43,P,Darren McCaughan,28,0,0,,,,,,,,,,,,,,,,,,,,,,,mccauda01
