Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Tanner Bibee,25,11,8,.579,3.56,30,30,0,0,0,0,166.2,146,69,66,22,42,0,180,7,0,2,684,114,3.60,1.128,7.9,1.2,2.3,9.7,4.29,bibeeta01
2,SP,Ben Lively,32,13,9,.591,3.80,28,28,0,0,0,0,147.0,134,63,62,23,45,0,114,4,1,2,609,107,4.65,1.218,8.2,1.4,2.8,7.0,2.53,livelbe01
3,SP,Carlos Carrasco,37,3,10,.231,5.64,21,21,0,0,0,0,103.2,112,68,65,19,33,0,89,5,0,5,447,72,4.93,1.399,9.7,1.6,2.9,7.7,2.70,carraca01
4,SP,Logan Allen* (40-man),25,8,5,.615,5.73,20,20,0,0,0,0,97.1,113,63,62,22,41,0,79,4,0,4,432,71,5.87,1.582,10.4,2.0,3.8,7.3,1.93,allenlo02
5,SP,Gavin Williams,24,3,10,.231,4.86,16,16,0,0,0,0,76.0,72,42,41,7,32,0,79,3,0,2,332,84,3.67,1.368,8.5,0.8,3.8,9.4,2.47,williga01
6,SP,Triston McKenzie (40-man),26,3,5,.375,5.11,16,16,0,0,0,0,75.2,69,46,43,19,49,1,74,1,0,5,340,80,6.46,1.559,8.2,2.3,5.8,8.8,1.51,mckentr01
7,CL,Emmanuel Clase,26,4,2,.667,0.63,71,0,63,0,0,46,71.1,37,10,5,2,8,1,64,2,0,2,258,649,2.16,0.631,4.7,0.3,1.0,8.1,8.00,claseem01
8,RP,Cade Smith,25,6,1,.857,1.96,72,0,2,0,0,1,73.1,50,16,16,1,17,0,100,3,1,0,282,208,1.43,0.914,6.1,0.1,2.1,12.3,5.88,smithca06
9,RP,Hunter Gaddis,26,5,3,.625,1.51,75,0,8,0,0,0,71.2,40,15,12,4,14,1,65,4,0,2,267,271,2.83,0.753,5.0,0.5,1.8,8.2,4.64,gaddihu01
10,RP,Tim Herrin*,27,5,1,.833,1.98,73,0,6,0,0,0,63.2,36,16,14,2,25,1,66,5,1,3,249,207,2.91,0.958,5.1,0.3,3.5,9.3,2.64,herriti01
