Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Francisco Alvarez,22,95,327,296,36,70,13,2,11,44,1,1,28,83,.236,.306,.405,.711,102,120,7,2,0,1,0,alvarfr01
2,1B,Pete Alonso,29,156,671,587,90,143,31,0,34,88,3,0,68,165,.244,.332,.470,.803,127,276,14,12,0,4,4,alonspe01
3,2B,Jeff McNeil* (10-day IL),32,129,472,424,57,101,26,0,12,44,5,1,35,68,.238,.308,.384,.692,97,163,6,9,1,3,1,mcneije01
4,SS,Francisco Lindor#,30,148,670,601,103,163,39,1,31,86,27,4,54,124,.271,.342,.494,.836,136,297,7,12,0,3,0,lindofr01
5,3B,Mark Vientos,24,106,432,392,55,105,22,0,25,67,0,0,33,127,.268,.326,.515,.842,136,202,6,3,0,4,0,vientma01
6,LF,Brandon Nimmo*,31,145,637,545,86,124,25,3,22,87,14,0,77,149,.228,.334,.406,.740,111,221,6,12,0,3,1,nimmobr01
7,CF,Harrison Bader,30,138,428,394,57,95,19,0,12,50,17,8,21,91,.241,.290,.381,.670,90,150,6,8,0,5,1,baderha01
8,RF,Starling Marte,35,89,354,322,44,87,12,3,7,40,16,1,25,78,.270,.327,.391,.718,105,126,8,3,2,2,0,martest01
9,DH,J.D. Martinez,36,117,482,423,45,99,23,1,16,69,0,0,47,139,.234,.318,.407,.725,106,172,16,6,0,2,0,martijd02
10,OF,Tyrone Taylor,30,124,326,300,46,76,21,3,7,35,10,2,19,76,.253,.308,.413,.721,104,124,4,5,1,1,1,tayloty01
11,2B,Jose Iglesias,34,79,265,246,38,83,16,1,4,25,5,2,11,35,.337,.381,.459,.840,140,113,4,7,0,1,1,iglesjo01
12,DH,DJ Stewart* (40-man),30,74,194,158,16,28,4,0,5,19,1,0,31,48,.177,.325,.297,.622,80,47,5,4,0,1,0,stewadj01
13,3B,Brett Baty* (40-man),24,50,171,153,15,35,3,0,4,16,0,0,16,42,.229,.306,.327,.633,82,50,3,1,1,0,1,batybr01
14,C,Luis Torrens,28,43,124,112,14,27,8,0,3,15,0,1,9,27,.241,.306,.393,.699,99,44,5,2,0,1,0,torrelu01
15,OF,Jesse Winker*,30,42,122,109,12,28,5,0,3,13,0,0,10,21,.257,.328,.385,.713,104,42,2,2,0,1,0,winkeje01
16,C,Tomás Nido,30,32,90,83,9,19,2,0,3,8,0,0,4,20,.229,.261,.361,.623,76,30,0,0,2,1,0,nidoto01
17,C,Omar Narváez*,32,28,69,65,4,10,2,0,0,5,0,0,3,12,.154,.191,.185,.376,9,12,2,0,1,0,0,narvaom01
18,IF,Joey Wendle*,34,18,37,36,3,8,1,0,0,1,1,0,1,9,.222,.243,.250,.493,42,9,0,0,0,0,0,wendljo01
19,OF,Ben Gamel*,32,18,30,23,9,5,1,0,0,0,1,0,7,7,.217,.400,.261,.661,96,6,0,0,0,0,0,gamelbe01
20,SS,Luisangel Acuña,22,9,30,29,6,11,2,1,3,6,0,1,1,4,.379,.400,.828,1.228,239,24,1,0,0,0,0,acunajo01
21,3B,Zack Short,29,10,12,9,2,1,0,0,0,0,0,1,2,4,.111,.273,.111,.384,16,1,0,0,1,0,0,shortza01
22,2B,Eddy Alvarez*,34,9,7,6,2,0,0,0,0,0,0,0,1,1,.000,.143,.000,.143,-54,0,0,0,0,0,0,alvared01
23,C,Joe Hudson,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hudsojo03
24,DH,Pablo Reyes,30,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,reyespa01
25,P,Paul Blackburn (15-day IL),30,0,0,,,,,,,,,,,,,,,,,,,,,,,blackpa01
26,P,Jose Quintana,35,0,0,,,,,,,,,,,,,,,,,,,,,,,quintjo01
27,P,Christian Scott (15-day IL),25,0,0,,,,,,,,,,,,,,,,,,,,,,,scottch01
28,P,Adrian Houser,31,0,0,,,,,,,,,,,,,,,,,,,,,,,housead01
29,P,Brooks Raley* (60-day IL),36,0,0,,,,,,,,,,,,,,,,,,,,,,,raleybr01
30,P,Grant Hartwig (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,hartwgr01
31,P,Ty Adcock,27,0,0,,,,,,,,,,,,,,,,,,,,,,,adcocty01
32,P,Sean Reid-Foley (60-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,reidfse01
33,P,Michael Tonkin,34,0,0,,,,,,,,,,,,,,,,,,,,,,,tonkimi01
34,P,Tyler Jay*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,jayty01
35,P,Tylor Megill,28,0,0,,,,,,,,,,,,,,,,,,,,,,,megilty01
36,P,Danny Young*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,youngda02
37,P,Kodai Senga* (60-day IL),31,0,0,,,,,,,,,,,,,,,,,,,,,,,sengako01
38,P,Huascar Brazobán,34,0,0,,,,,,,,,,,,,,,,,,,,,,,brazohu01
39,P,Eric Orze (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,orzeer01
40,P,Sean Manaea,32,0,0,,,,,,,,,,,,,,,,,,,,,,,manaese01
41,P,Drew Smith (60-day IL),30,0,0,,,,,,,,,,,,,,,,,,,,,,,smithdr01
42,P,Yohan Ramírez,29,0,0,,,,,,,,,,,,,,,,,,,,,,,ramiryo01
43,P,Jorge López,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,lopezjo02
44,P,Ryne Stanek,32,0,0,,,,,,,,,,,,,,,,,,,,,,,stanery01
45,P,David Peterson*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,peterda01
46,P,Luis Severino,30,0,0,,,,,,,,,,,,,,,,,,,,,,,severlu01
47,P,Jake Diekman,37,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,diekmja01
48,P,Joey Lucchesi* (EV-day IL),31,0,0,,,,,,,,,,,,,,,,,,,,,,,lucchjo01
49,P,José Buttó,26,0,0,,,,,,,,,,,,,,,,,,,,,,,buttojo01
50,P,Josh Walker*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,walkejo03
51,P,Dedniel Núñez (15-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,nunezde01
52,P,Julio Teheran,33,0,0,,,,,,,,,,,,,,,,,,,,,,,teherju01
53,P,Phil Maton,31,0,0,,,,,,,,,,,,,,,,,,,,,,,matonph01
54,P,Edwin Díaz,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,diazed04
55,P,Reed Garrett,31,0,0,,,,,,,,,,,,,,,,,,,,,,,garrere01
56,P,Matt Festa,31,0,0,,,,,,,,,,,,,,,,,,,,,,,festama01
57,P,Cole Sulser,34,0,0,,,,,,,,,,,,,,,,,,,,,,,sulseco01
58,P,Alex Young*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,youngal01
59,P,Adam Ottavino#,38,0,0,,,,,,,,,,,,,,,,,,,,,,,ottavad01
,,Team Totals,30.1,156,5950,5313,750,1318,275,15,202,718,101,22,503,1330,.248,.322,.420,.741,110,2229,102,88,9,33,10,-9999
,,Rank in 15 NL teams,,,,4,4,5,3,14,4,,11,3,5,7,6,6,5,5,,5,,1,,13,,-9999
