Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Adley Rutschman#,26,143,614,548,66,138,20,1,19,77,1,0,57,101,.252,.321,.396,.717,108,217,9,2,0,7,3,rutscad01
2,1B,Ryan Mountcastle (10-day IL),27,118,485,452,53,120,29,2,13,61,3,0,27,106,.265,.305,.425,.730,111,192,13,1,0,5,0,mountry01
3,2B,Jackson Holliday*,20,56,198,183,26,31,3,2,5,23,4,0,12,68,.169,.227,.290,.517,50,53,1,2,0,1,0,hollija01
4,SS,Gunnar Henderson*,23,154,698,612,116,173,30,7,37,89,21,3,76,155,.283,.367,.536,.903,160,328,2,7,0,3,1,hendegu01
5,3B,Ramón Urías,30,94,279,250,34,63,9,2,10,35,1,1,23,52,.252,.326,.424,.750,117,106,0,5,0,1,0,uriasra01
6,LF,Colton Cowser*,24,148,540,479,74,117,23,3,22,64,8,4,51,163,.244,.324,.443,.767,121,212,9,7,0,3,2,cowseco01
7,CF,Cedric Mullins*,29,142,479,426,63,97,15,3,18,54,30,6,39,95,.228,.299,.404,.702,103,172,1,5,2,2,0,mullice01
8,RF,Anthony Santander#,29,150,643,575,88,135,24,2,43,99,2,0,56,127,.235,.308,.508,.816,133,292,8,7,0,5,3,santaan02
9,DH,Ryan O'Hearn*,30,136,473,423,56,109,20,3,13,54,3,1,45,65,.258,.330,.411,.741,115,174,7,2,0,3,2,ohearry01
10,IF,Jordan Westburg,25,102,424,394,55,106,26,5,18,59,6,3,21,91,.269,.317,.497,.814,133,196,5,7,1,1,0,westbjo01
11,C,James McCann,34,62,221,203,26,46,9,0,7,27,1,0,12,52,.227,.271,.374,.646,86,76,3,2,0,4,0,mccanja02
12,2B,Jorge Mateo (60-day IL),29,68,208,192,30,44,14,2,5,18,13,2,10,48,.229,.267,.401,.668,92,77,3,1,2,3,0,mateojo01
13,LF,Austin Hays,28,63,175,157,18,40,13,0,3,14,0,1,9,40,.255,.316,.395,.711,107,62,1,6,1,2,1,haysau01
14,OF,Heston Kjerstad*,25,35,103,88,7,23,2,0,3,12,1,0,10,29,.261,.369,.386,.755,122,34,0,5,0,0,2,kjershe01
