Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Corbin Burnes,29,15,8,.652,2.95,31,31,0,0,0,0,189.1,163,75,62,21,47,0,172,2,3,7,767,127,3.57,1.109,7.7,1.0,2.2,8.2,3.66,burneco01
2,SP,Albert Suárez,34,8,7,.533,3.74,31,23,1,0,0,0,127.2,126,54,53,15,42,1,104,3,1,2,543,101,4.12,1.316,8.9,1.1,3.0,7.3,2.48,suareal01
3,SP,Dean Kremer,28,7,10,.412,4.19,23,23,0,0,0,0,124.2,107,71,58,17,49,0,120,3,1,1,534,90,4.26,1.251,7.7,1.2,3.5,8.7,2.45,kremede01
4,SP,Grayson Rodriguez (15-day IL),24,13,4,.765,3.86,20,20,0,0,0,0,116.2,109,52,50,15,36,0,130,5,0,6,491,98,3.66,1.243,8.4,1.2,2.8,10.0,3.61,rodrigr01
5,SP,Cole Irvin*,30,6,5,.545,4.86,25,16,3,0,0,1,107.1,126,66,58,17,25,1,76,5,0,1,470,77,4.65,1.407,10.6,1.4,2.1,6.4,3.04,irvinco01
6,SP,Cade Povich*,24,2,9,.182,5.59,15,15,0,0,0,0,74.0,78,49,46,12,33,1,67,3,0,0,332,67,4.92,1.500,9.5,1.5,4.0,8.1,2.03,povicca01
7,CL,Craig Kimbrel (DFA),36,7,5,.583,5.33,57,0,39,0,0,23,52.1,40,35,31,7,31,1,73,5,1,3,232,71,4.18,1.357,6.9,1.2,5.3,12.6,2.35,kimbrcr01
8,RP,Keegan Akin*,29,3,1,.750,3.18,63,0,19,0,0,0,76.1,53,29,27,8,18,1,96,2,0,4,303,118,2.80,0.930,6.2,0.9,2.1,11.3,5.33,akinke01
9,RP,Yennier Cano,30,4,3,.571,2.79,67,0,12,0,0,5,58.0,51,21,18,6,22,1,63,1,1,0,239,135,3.53,1.259,7.9,0.9,3.4,9.8,2.86,canoye01
10,RP,Jacob Webb,30,1,5,.167,3.25,56,0,8,0,0,2,52.2,37,23,19,4,27,1,53,1,0,0,222,116,3.74,1.215,6.3,0.7,4.6,9.1,1.96,webbja01
11,RP,Cionel Pérez*,28,2,0,1.000,4.01,59,0,9,0,0,2,51.2,44,25,23,0,27,0,45,5,0,6,228,94,3.28,1.374,7.7,0.0,4.7,7.8,1.67,perezci01
12,,Zach Eflin,30,5,2,.714,2.31,8,8,0,0,0,0,50.2,47,13,13,7,6,0,46,0,0,1,202,164,3.50,1.046,8.3,1.2,1.1,8.2,7.67,eflinza01
13,,Kyle Bradish (60-day IL),27,2,0,1.000,2.75,8,8,0,0,0,0,39.1,27,12,12,2,15,0,53,3,0,2,163,138,2.50,1.068,6.2,0.5,3.4,12.1,3.53,bradiky01
14,,Dillon Tate,30,2,1,.667,4.59,29,0,10,0,0,1,33.1,38,19,17,2,9,0,23,4,0,0,148,83,3.74,1.410,10.3,0.5,2.4,6.2,2.56,tatedi01
15,,Danny Coulombe*,34,1,0,1.000,2.28,31,0,3,0,0,1,27.2,15,7,7,3,4,0,32,0,0,2,100,167,2.70,0.687,4.9,1.0,1.3,10.4,8.00,couloda01
16,,Burch Smith (15-day IL),34,2,1,.667,5.74,25,0,5,0,0,0,26.2,25,19,17,5,3,0,23,1,0,0,106,66,4.33,1.050,8.4,1.7,1.0,7.8,7.67,smithbu03
17,,Bryan Baker,29,1,1,.500,4.50,18,0,4,0,0,0,22.0,18,11,11,2,6,0,19,0,0,0,85,85,3.44,1.091,7.4,0.8,2.5,7.8,3.17,bakerbr01
18,,John Means* (60-day IL),31,2,0,1.000,2.61,4,4,0,0,0,0,20.2,16,6,6,2,2,0,16,1,0,0,80,146,3.31,0.871,7.0,0.9,0.9,7.0,8.00,meansjo01
19,,Seranthony Domínguez,29,0,2,.000,3.54,22,0,15,0,0,9,20.1,17,8,8,6,7,0,26,0,0,3,86,108,5.48,1.180,7.5,2.7,3.1,11.5,3.71,dominse01
20,,Trevor Rogers* (40-man),26,0,2,.000,7.11,4,4,0,0,0,0,19.0,25,16,15,2,10,0,12,1,0,0,90,54,5.01,1.842,11.8,0.9,4.7,5.7,1.20,rogertr01
21,,Mike Baumann,28,1,0,1.000,3.44,17,0,6,0,0,0,18.1,18,9,7,2,9,0,16,1,0,1,82,111,4.48,1.473,8.8,1.0,4.4,7.9,1.78,baumami01
22,,Tyler Wells (60-day IL),29,0,2,.000,5.87,3,3,0,0,0,0,15.1,18,11,10,3,3,0,13,0,0,0,67,66,4.60,1.370,10.6,1.8,1.8,7.6,4.33,wellsty01
23,,Gregory Soto*,29,1,1,.500,5.87,20,0,5,0,0,0,15.1,20,11,10,2,6,1,18,2,1,1,71,66,4.08,1.696,11.7,1.2,3.5,10.6,3.00,sotogr01
24,,Matt Bowman,33,1,0,1.000,0.69,12,0,3,0,0,0,13.0,8,1,1,0,6,1,11,0,0,0,51,558,2.86,1.077,5.5,0.0,4.2,7.6,1.83,bowmama01
25,,Nick Vespi*,28,0,0,,2.92,11,0,8,0,0,0,12.1,10,4,4,1,3,0,9,0,0,0,49,133,3.49,1.054,7.3,0.7,2.2,6.6,3.00,vespini01
26,,Yohan Ramírez,29,0,0,,6.00,5,0,2,0,0,0,6.0,3,4,4,0,2,0,6,3,0,3,24,67,3.67,0.833,4.5,0.0,3.0,9.0,3.00,ramiryo01
27,,Jonathan Heasley,27,0,1,.000,16.88,4,0,2,0,0,0,5.1,10,11,10,2,3,0,4,1,0,1,29,24,8.79,2.438,16.9,3.4,5.1,6.8,1.33,heasljo01
28,,Chayce McDermott (40-man),25,0,0,,6.75,1,1,0,0,0,0,4.0,5,3,3,1,2,0,3,0,0,0,18,61,6.42,1.750,11.3,2.3,4.5,6.8,1.50,mcderch01
29,,Vinny Nittoli,33,0,0,,0.00,2,0,1,0,0,0,4.0,2,0,0,0,0,0,3,0,0,0,14,,1.67,0.500,4.5,0.0,0.0,6.8,,nittovi01
