Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Luis Campusano (40-man),25,91,299,277,37,63,13,0,8,40,0,0,20,41,.227,.281,.361,.642,78,100,11,1,0,1,0,campulu01
2,1B,Jake Cronenworth*,30,150,636,560,71,136,27,3,16,78,5,2,58,114,.243,.324,.388,.712,99,217,19,11,1,3,0,croneja01
3,2B,Xander Bogaerts,31,106,443,410,48,106,14,1,11,41,13,2,27,75,.259,.302,.378,.681,89,155,12,1,0,5,0,bogaexa01
4,SS,Ha-Seong Kim (10-day IL),28,121,470,403,60,94,16,3,11,47,22,5,58,77,.233,.330,.370,.700,96,149,8,2,4,3,4,kimha01
5,3B,Manny Machado,31,147,621,573,75,158,29,0,29,104,10,2,43,120,.276,.325,.478,.803,121,274,25,1,0,4,6,machama01
6,LF,Jurickson Profar#,31,153,646,544,90,155,28,0,24,85,10,3,75,96,.285,.385,.469,.854,138,255,13,17,5,5,4,profaju01
7,CF,Jackson Merrill*,21,151,574,537,75,157,29,6,24,89,16,3,28,100,.292,.326,.503,.829,128,270,2,1,3,5,1,merrija01
8,RF,Fernando Tatis Jr.,25,97,417,379,63,107,20,1,20,48,10,3,30,91,.282,.345,.499,.844,133,189,8,7,0,1,0,tatisfe02
9,DH,Luis Arráez*,27,112,504,480,59,155,21,1,4,39,9,3,16,17,.323,.352,.396,.748,109,190,13,6,1,1,3,arraelu01
10,CI,Donovan Solano,36,90,292,268,30,77,13,0,7,33,1,1,20,60,.287,.342,.414,.757,111,111,6,3,0,1,0,solando01
11,C,Kyle Higashioka,34,79,247,230,27,50,9,1,16,43,1,0,15,69,.217,.264,.474,.738,101,109,3,0,1,1,0,higasky01
12,RF,David Peralta*,36,86,246,224,33,60,11,0,8,27,2,0,20,49,.268,.333,.424,.757,111,95,3,2,0,0,0,peralda01
13,IF,Tyler Wade*,29,87,149,131,28,30,3,0,0,8,8,1,11,29,.229,.299,.252,.551,57,33,0,2,4,0,0,wadety01
14,OF,José Azocar,28,61,79,73,13,16,2,0,0,2,5,1,5,19,.219,.269,.247,.516,46,18,1,0,1,0,0,azocajo01
15,RF,Bryce Johnson# (40-man),28,47,73,63,9,13,2,0,0,4,1,1,7,12,.206,.286,.238,.524,49,15,1,0,3,0,0,johnsbr03
16,SS,Mason McCoy (10-day IL),29,19,57,49,7,10,2,0,0,3,1,0,5,19,.204,.278,.245,.523,49,12,2,0,3,0,0,mccoyma01
17,3B,Eguy Rosario (40-man),24,30,57,53,5,13,6,0,3,6,0,0,2,20,.245,.286,.528,.814,121,28,1,1,1,0,0,rosareg01
18,DH,Graham Pauley*,23,13,32,32,4,4,0,0,2,5,0,0,0,15,.125,.125,.313,.438,17,10,1,0,0,0,0,paulegr01
19,C,Elias Díaz,33,10,19,16,1,3,1,0,1,2,0,0,3,4,.188,.316,.438,.753,108,7,1,0,0,0,0,diazel01
20,UT,Brett Sullivan* (40-man),30,7,17,16,1,3,0,0,1,2,0,0,1,4,.188,.235,.375,.610,67,6,0,0,0,0,0,sullibr01
21,OF,Brandon Lockridge,27,8,5,5,3,1,0,0,0,0,1,0,0,1,.200,.200,.200,.400,13,1,0,0,0,0,0,lockrbr01
22,1B,Matthew Batten,29,1,3,3,0,1,0,1,0,0,0,0,0,0,.333,.333,1.000,1.333,253,3,0,0,0,0,0,battema01
23,P,Sean Reynolds* (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,reynose01
24,P,Michael King,29,0,0,,,,,,,,,,,,,,,,,,,,,,,kingmi01
25,P,Adam Mazur,23,0,0,,,,,,,,,,,,,,,,,,,,,,,mazurad01
26,P,Jeremiah Estrada#,25,0,0,,,,,,,,,,,,,,,,,,,,,,,estraje01
27,P,Jhony Brito (60-day IL),26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,britojh01
28,P,Robert Suarez,33,0,0,,,,,,,,,,,,,,,,,,,,,,,suarero01
29,P,Wandy Peralta*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,peralwa01
30,P,Tanner Scott,29,0,0,,,,,,,,,,,,,,,,,,,,,,,scottta01
31,P,Bryan Hoeing,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hoeinbr01
32,P,Joe Musgrove,31,0,0,,,,,,,,,,,,,,,,,,,,,,,musgrjo01
33,P,Randy Vásquez (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,vasqura02
34,P,Jason Adam,32,0,0,,,,,,,,,,,,,,,,,,,,,,,adamja01
35,P,Adrián Morejón*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,morejad01
36,P,Carl Edwards Jr.,32,0,0,,,,,,,,,,,,,,,,,,,,,,,edwarca01
37,P,Pedro Avila,27,0,0,,,,,,,,,,,,,,,,,,,,,,,avilape01
38,P,Dylan Cease,28,0,0,,,,,,,,,,,,,,,,,,,,,,,ceasedy01
39,P,Matt Waldron (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,waldrma01
40,P,Alek Jacob*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,jacobal01
41,P,Yu Darvish,37,0,0,,,,,,,,,,,,,,,,,,,,,,,darviyu01
42,P,Austin Davis*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,davisau01
43,P,Martín Pérez*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,perezma02
44,P,Stephen Kolek (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,kolekst01
45,P,Enyel De Los Santos,28,0,0,,,,,,,,,,,,,,,,,,,,,,,delosen01
46,P,Yuki Matsui*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,matsuyu01
47,P,Logan Gillaspie (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,gillalo01
48,P,Tom Cosgrove* (40-man),28,0,0,,,,,,,,,,,,,,,,,,,,,,,cosgrto01
,,Team Totals,29.0,156,5886,5326,739,1412,246,17,185,706,115,27,444,1032,.265,.326,.422,.748,108,2247,130,55,27,30,18,-9999
,,Rank in 15 NL teams,,,,3,6,1,10,11,6,,8,6,12,1,1,3,4,4,,4,,10,,15,,-9999
