Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Dylan Cease,28,14,11,.560,3.42,32,32,0,1,1,0,184.1,132,77,70,18,62,0,220,2,0,11,739,120,3.09,1.052,6.4,0.9,3.0,10.7,3.55,ceasedy01
2,SP,Michael King,29,12,9,.571,3.04,30,29,0,0,0,0,168.2,141,70,57,17,61,2,198,6,0,1,706,135,3.32,1.198,7.5,0.9,3.3,10.6,3.25,kingmi01
3,SP,Matt Waldron (40-man),27,7,11,.389,4.79,26,26,0,0,0,0,142.2,137,79,76,19,40,0,130,9,1,3,603,86,4.11,1.241,8.6,1.2,2.5,8.2,3.25,waldrma01
4,SP,Joe Musgrove,31,6,5,.545,3.95,18,18,0,0,0,0,93.1,89,42,41,13,22,0,95,10,0,0,385,104,3.97,1.189,8.6,1.3,2.1,9.2,4.32,musgrjo01
5,SP,Randy Vásquez (40-man),25,4,7,.364,5.18,19,19,0,0,0,0,92.0,118,56,53,13,28,1,58,4,2,5,408,79,4.79,1.587,11.5,1.3,2.7,5.7,2.07,vasqura02
6,SP,Yu Darvish,37,6,3,.667,3.18,15,15,0,0,0,0,76.1,62,29,27,11,19,0,74,1,0,2,308,130,3.89,1.061,7.3,1.3,2.2,8.7,3.89,darviyu01
7,CL,Robert Suarez,33,9,3,.750,2.71,63,0,53,0,0,34,63.0,49,20,19,7,15,1,58,0,0,1,250,152,3.48,1.016,7.0,1.0,2.1,8.3,3.87,suarero01
8,RP,Adrián Morejón*,25,3,2,.600,2.90,57,0,12,0,0,2,62.0,59,24,20,4,20,2,70,1,1,7,262,142,2.76,1.274,8.6,0.6,2.9,10.2,3.50,morejad01
9,RP,Yuki Matsui*,28,4,2,.667,3.84,61,0,11,0,0,0,61.0,44,27,26,8,26,3,66,0,0,7,249,108,3.99,1.148,6.5,1.2,3.8,9.7,2.54,matsuyu01
10,RP,Jeremiah Estrada,25,6,2,.750,2.88,59,0,14,0,0,1,59.1,41,21,19,4,21,1,92,0,0,4,243,143,2.00,1.045,6.2,0.6,3.2,14.0,4.38,estraje01
11,RP,Enyel De Los Santos,28,1,2,.333,4.46,44,0,13,0,0,1,40.1,39,21,20,11,13,1,48,1,0,2,170,93,5.37,1.289,8.7,2.5,2.9,10.7,3.69,delosen01
12,,Martín Pérez*,33,3,0,1.000,2.61,9,9,0,0,0,0,48.1,38,14,14,8,15,0,41,2,0,0,197,159,4.68,1.097,7.1,1.5,2.8,7.6,2.73,perezma02
13,,Stephen Kolek (60-day IL),27,3,0,1.000,5.21,42,0,12,0,0,0,46.2,59,30,27,4,12,0,39,3,0,2,211,79,3.57,1.521,11.4,0.8,2.3,7.5,3.25,kolekst01
14,,Jhony Brito (60-day IL),26,1,2,.333,4.12,26,0,9,0,0,0,43.2,49,23,20,4,10,1,29,0,0,1,185,100,3.72,1.351,10.1,0.8,2.1,6.0,2.90,britojh01
15,,Wandy Peralta*,32,2,2,.500,4.17,44,0,9,0,0,0,36.2,33,19,17,6,12,0,22,5,0,2,157,99,5.48,1.227,8.1,1.5,2.9,5.4,1.83,peralwa01
16,,Adam Mazur,23,1,3,.250,7.49,8,8,0,0,0,0,33.2,40,28,28,6,21,0,22,2,0,0,158,55,6.23,1.812,10.7,1.6,5.6,5.9,1.05,mazurad01
17,,Tanner Scott*,29,3,0,1.000,2.19,26,0,6,0,0,4,24.2,22,7,6,1,8,1,30,0,0,0,102,190,2.23,1.216,8.0,0.4,2.9,10.9,3.75,scottta01
18,,Jason Adam,32,3,0,1.000,1.11,25,0,1,0,0,0,24.1,12,3,3,1,7,1,30,3,1,2,93,376,2.47,0.781,4.4,0.4,2.6,11.1,4.29,adamja01
19,,Bryan Hoeing,27,1,1,.500,0.87,15,0,1,0,0,0,20.2,11,3,2,1,4,1,17,0,0,3,74,480,2.73,0.726,4.8,0.4,1.7,7.4,4.25,hoeinbr01
20,,Alek Jacob,26,0,0,,2.45,7,0,2,0,0,0,14.2,9,4,4,1,2,0,19,2,0,0,57,171,2.28,0.750,5.5,0.6,1.2,11.7,9.50,jacobal01
21,,Tom Cosgrove* (40-man),28,0,1,.000,11.66,18,0,3,0,0,0,14.2,23,19,19,3,6,0,15,4,0,0,76,36,5.83,1.977,14.1,1.8,3.7,9.2,2.50,cosgrto01
22,,Logan Gillaspie (40-man),27,0,0,,7.15,9,0,4,0,0,0,11.1,15,9,9,2,0,0,7,1,0,0,49,59,4.49,1.324,11.9,1.6,0.0,5.6,,gillalo01
23,,Sean Reynolds (40-man),26,0,0,,0.82,9,0,3,0,0,0,11.0,10,1,1,0,5,0,21,1,0,0,49,519,0.98,1.364,8.2,0.0,4.1,17.2,4.20,reynose01
24,,Pedro Avila,27,1,0,1.000,9.00,4,0,2,0,0,0,8.0,5,8,8,1,6,0,9,1,0,3,35,48,5.17,1.375,5.6,1.1,6.8,10.1,1.50,avilape01
25,,Austin Davis*,31,0,0,,9.00,7,0,0,0,0,0,7.0,6,8,7,0,5,0,6,2,0,0,33,48,4.45,1.571,7.7,0.0,6.4,7.7,1.20,davisau01
26,,Carl Edwards Jr.,32,0,0,,,1,0,0,0,0,0,0.0,1,0,0,0,2,0,0,0,0,1,3,,,,,,,,0.00,edwarca01
,,Team Totals,28.6,90,66,.577,3.84,156,156,155,1,1,42,1388.1,1244,642,593,163,442,15,1416,60,5,57,5802,108,3.73,1.214,8.1,1.1,2.9,9.2,3.20,-9999
,,Rank in 15 NL teams,,3,13,,5,,,,4,1,4,9,3,4,5,4,3,,2,,,,,,,,,,,,,-9999
