Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Salvador Perez,34,153,630,569,57,154,27,0,27,103,0,0,43,125,.271,.331,.460,.791,120,262,17,11,0,6,9,perezsa02
2,1B,Vinnie Pasquantino* (10-day IL),26,131,554,496,64,130,30,2,19,97,1,0,40,71,.262,.315,.446,.760,111,221,12,4,1,13,1,pasquvi01
3,2B,Michael Massey*,26,94,339,317,43,80,15,2,13,41,1,0,13,52,.252,.285,.435,.720,99,138,9,3,2,4,1,massemi02
4,SS,Bobby Witt Jr.,24,156,687,617,124,206,45,11,32,108,30,12,54,103,.334,.390,.598,.988,173,369,4,8,0,8,9,wittbo02
5,3B,Maikel Garcia,24,151,608,561,84,133,27,5,7,58,37,2,38,99,.237,.283,.340,.624,75,191,6,0,4,5,0,garcima01
6,LF,MJ Melendez*,25,130,438,401,44,85,23,3,17,44,4,4,33,106,.212,.277,.411,.688,90,165,3,3,0,0,1,melenmj01
7,CF,Kyle Isbel*,27,131,412,373,60,87,13,8,8,42,11,2,25,82,.233,.289,.375,.664,85,140,4,5,7,2,0,isbelky01
8,RF,Hunter Renfroe,32,115,410,371,42,85,18,0,13,50,1,1,36,80,.229,.300,.383,.683,91,142,9,2,0,1,0,renfrhu01
9,DH,Nelson Velázquez (40-man),25,64,230,205,31,41,8,1,8,27,2,0,19,61,.200,.274,.366,.640,78,75,6,3,0,3,0,velazne01
10,C,Freddy Fermin,29,106,353,324,39,90,14,0,6,36,2,0,23,63,.278,.327,.377,.703,98,122,10,2,1,3,1,fermifr01
11,UT,Adam Frazier*,32,102,289,257,34,52,10,1,4,20,2,0,22,57,.202,.283,.296,.579,64,76,0,7,3,0,0,fraziad01
12,CF,Garrett Hampson,29,109,220,203,15,46,13,1,0,16,7,2,13,56,.227,.271,.300,.571,61,61,3,0,2,2,0,hampsga01
13,IF,Nick Loftin (40-man),25,56,171,148,15,28,4,0,1,14,1,0,19,24,.189,.282,.236,.519,49,35,4,1,1,2,0,loftini01
14,LF,Dairon Blanco,31,84,129,117,36,31,4,0,4,13,29,6,8,32,.265,.315,.402,.717,100,47,1,1,1,1,0,blancda02
15,3B,Paul DeJong,30,35,113,103,14,24,3,0,6,15,0,1,8,42,.233,.283,.437,.720,99,45,1,0,0,2,0,dejonpa01
