Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Seth Lugo,34,16,9,.640,3.03,32,32,0,1,0,0,204.2,176,75,69,16,47,1,178,9,0,4,828,140,3.26,1.090,7.7,0.7,2.1,7.8,3.79,lugose01
2,SP,Cole Ragans*,26,11,9,.550,3.24,31,31,0,1,0,0,180.1,143,71,65,15,64,1,217,6,0,11,739,131,3.01,1.148,7.1,0.7,3.2,10.8,3.39,raganco01
3,SP,Brady Singer,27,9,12,.429,3.73,31,31,0,0,0,0,173.2,171,75,72,21,51,0,165,10,0,2,736,114,3.89,1.278,8.9,1.1,2.6,8.6,3.24,singebr01
4,SP,Michael Wacha,32,13,8,.619,3.28,28,28,0,0,0,0,161.2,149,61,59,16,44,1,143,5,0,3,663,129,3.59,1.194,8.3,0.9,2.4,8.0,3.25,wachami01
5,SP,Alec Marsh,26,8,9,.471,4.65,25,24,1,0,0,0,124.0,118,68,64,18,39,1,121,10,1,3,527,91,4.29,1.266,8.6,1.3,2.8,8.8,3.10,marshal01
6,CL,James McArthur (15-day IL),27,5,7,.417,4.92,57,0,38,0,0,18,56.2,68,36,31,8,14,2,49,3,0,1,247,86,4.17,1.447,10.8,1.3,2.2,7.8,3.50,mcartja01
7,RP,Chris Stratton (15-day IL),33,4,3,.571,5.55,57,0,21,0,0,4,58.1,53,38,36,5,33,1,44,3,0,1,257,77,4.62,1.474,8.2,0.8,5.1,6.8,1.33,stratch01
8,RP,Angel Zerpa*,24,1,0,1.000,4.14,56,0,3,0,0,0,50.0,57,24,23,6,18,2,47,2,0,3,225,103,4.05,1.500,10.3,1.1,3.2,8.5,2.61,zerpaan01
9,RP,John Schreiber,30,4,3,.571,3.94,55,0,5,0,0,2,48.0,47,23,21,1,18,1,42,4,0,1,211,108,3.06,1.354,8.8,0.2,3.4,7.9,2.33,schrejo01
10,RP,Will Smith* (15-day IL),34,0,4,.000,6.53,45,0,13,0,0,1,41.1,45,31,30,7,15,2,29,3,0,0,186,65,5.27,1.452,9.8,1.5,3.3,6.3,1.93,smithwi04
