Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Pablo López,28,15,9,.625,4.11,31,31,0,0,0,0,179.2,174,88,82,25,38,0,190,8,0,3,745,101,3.63,1.180,8.7,1.3,1.9,9.5,5.00,lopezpa01
2,SP,Bailey Ober,28,12,7,.632,3.84,29,29,0,1,0,0,168.2,123,74,72,25,41,0,180,5,0,0,664,108,3.78,0.972,6.6,1.3,2.2,9.6,4.39,oberba01
3,SP,Joe Ryan (60-day IL),28,7,7,.500,3.60,23,23,0,0,0,0,135.0,110,59,54,19,23,0,147,5,1,2,538,116,3.44,0.985,7.3,1.3,1.5,9.8,6.39,ryanjo04
4,SP,Simeon Woods Richardson,23,5,5,.500,4.00,27,27,0,0,0,0,132.2,119,60,59,15,47,0,115,3,0,3,559,104,4.03,1.251,8.1,1.0,3.2,7.8,2.45,woodssi01
5,SP,Chris Paddack (60-day IL),28,5,3,.625,4.99,17,17,0,0,0,0,88.1,102,50,49,14,21,0,79,1,0,3,384,83,4.18,1.392,10.4,1.4,2.1,8.0,3.76,paddach01
6,SP,David Festa,24,2,6,.250,4.80,13,12,0,0,0,0,60.0,55,32,32,9,22,0,72,2,1,2,256,87,3.92,1.283,8.3,1.4,3.3,10.8,3.27,festada01
7,CL,Jhoan Durán,26,6,9,.400,3.83,56,0,37,0,0,23,51.2,46,30,22,4,14,2,61,6,1,1,218,109,2.97,1.161,8.0,0.7,2.4,10.6,4.36,duranjh01
8,RP,Cole Sands,26,9,1,.900,3.13,59,0,11,0,0,4,69.0,57,27,24,6,11,0,79,6,1,3,282,133,2.75,0.986,7.4,0.8,1.4,10.3,7.18,sandsco01
9,RP,Griffin Jax,29,4,5,.444,2.10,70,0,16,0,0,10,68.2,45,19,16,4,15,1,91,2,0,4,267,199,2.02,0.874,5.9,0.5,2.0,11.9,6.07,jaxgr01
10,RP,Jorge Alcalá (40-man),28,4,3,.571,3.46,51,0,5,0,0,0,54.2,40,23,21,8,19,1,52,3,0,4,223,121,4.37,1.079,6.6,1.3,3.1,8.6,2.74,alcaljo01
11,RP,Caleb Thielbar*,37,2,4,.333,5.40,56,0,18,0,0,3,45.0,49,32,27,5,23,2,52,0,0,2,207,77,3.83,1.600,9.8,1.0,4.6,10.4,2.26,thielca01
12,,Louie Varland,26,0,6,.000,7.94,14,7,1,0,0,0,45.1,61,42,40,11,16,1,42,4,0,0,218,53,5.79,1.699,12.1,2.2,3.2,8.3,2.63,varlalo01
13,,Steven Okert*,32,3,2,.600,5.09,44,1,8,0,0,1,35.1,37,22,20,6,16,3,33,3,0,2,160,82,5.12,1.500,9.4,1.5,4.1,8.4,2.06,okertst01
14,,Zebby Matthews,24,1,3,.250,5.71,8,8,0,0,0,0,34.2,44,25,22,9,8,0,38,2,0,0,158,73,5.21,1.500,11.4,2.3,2.1,9.9,4.75,matthze01
