Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Austin Wells*,24,110,394,339,39,81,18,1,13,54,1,2,43,86,.239,.326,.413,.739,108,140,7,4,1,7,0,wellsau01
2,1B,Anthony Rizzo*,34,88,360,326,35,71,11,0,8,33,0,0,24,63,.218,.286,.325,.611,73,106,7,8,0,2,0,rizzoan01
3,2B,Gleyber Torres,27,149,643,567,76,144,23,0,15,62,4,3,63,131,.254,.328,.374,.702,99,212,6,3,2,8,0,torregl01
4,SS,Anthony Volpe,23,154,669,620,90,154,27,7,12,59,27,5,39,150,.248,.296,.373,.668,88,231,9,4,2,3,1,volpean01
5,3B,Oswaldo Cabrera#,25,105,318,291,45,72,10,0,8,36,4,2,21,61,.247,.297,.364,.662,87,106,6,1,2,3,0,cabreos01
6,LF,Alex Verdugo*,28,145,608,546,72,127,28,1,12,58,1,1,49,91,.233,.292,.353,.646,82,193,13,1,2,10,0,verdual01
7,CF,Aaron Judge,32,154,686,545,118,176,36,1,55,138,10,0,129,165,.323,.458,.695,1.154,221,379,22,9,0,2,20,judgeaa01
8,RF,Juan Soto*,25,152,691,558,124,160,31,4,40,104,6,4,125,113,.287,.418,.572,.990,177,319,10,4,0,4,1,sotoju01
9,DH,Giancarlo Stanton,34,109,440,400,46,94,19,0,26,68,0,0,36,135,.235,.300,.478,.778,116,191,16,2,0,2,2,stantmi03
10,CI,DJ LeMahieu (10-day IL),35,67,228,201,19,41,5,0,2,26,0,1,19,35,.204,.269,.259,.527,51,52,13,1,1,6,0,lemahdj01
11,C,Jose Trevino,31,71,227,203,24,44,5,0,8,28,1,0,19,40,.217,.288,.360,.647,82,73,12,2,1,2,0,trevijo01
12,CF,Trent Grisham*,27,74,201,171,20,32,8,0,8,28,1,1,22,52,.187,.291,.374,.666,87,64,5,4,1,2,1,grishtr01
13,1B,Ben Rice* (40-man),25,49,175,149,20,26,6,0,7,23,0,1,20,46,.174,.269,.356,.624,75,53,2,1,0,5,0,ricebe01
14,3B,Jazz Chisholm Jr.*,26,41,171,156,27,43,5,0,10,19,16,2,14,41,.276,.333,.500,.833,132,78,2,0,0,1,0,chishja01
15,3B,Jon Berti,34,23,66,60,9,17,0,0,1,6,5,1,4,14,.283,.338,.333,.672,92,20,1,1,1,0,0,bertijo01
16,UT,Jahmai Jones,26,33,47,42,8,10,1,1,1,4,1,1,2,16,.238,.304,.381,.685,93,16,0,2,1,0,0,jonesja08
17,OF,Jasson Domínguez#,21,12,46,40,6,8,1,0,2,4,4,0,6,14,.200,.304,.375,.679,92,15,0,0,0,0,0,dominja01
