Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Nestor Cortes*,29,9,10,.474,3.77,31,30,1,0,0,0,174.1,162,74,73,24,39,0,162,4,1,2,710,108,3.84,1.153,8.4,1.2,2.0,8.4,4.15,cortene01
2,SP,Carlos Rodón*,31,16,9,.640,3.98,31,31,0,0,0,0,169.2,153,79,75,29,53,0,190,10,2,3,715,103,4.26,1.214,8.1,1.5,2.8,10.1,3.58,rodonca01
3,SP,Marcus Stroman,33,10,8,.556,4.04,29,28,1,0,0,1,151.1,157,75,68,19,60,0,112,8,0,2,656,101,4.67,1.434,9.3,1.1,3.6,6.7,1.87,stromma01
4,SP,Luis Gil,26,15,6,.714,3.27,28,28,0,0,0,0,146.0,98,54,53,14,76,0,166,8,2,6,613,125,3.86,1.192,6.0,0.9,4.7,10.2,2.18,gillu01
5,SP,Gerrit Cole,33,7,5,.583,3.67,16,16,0,0,0,0,88.1,76,38,36,11,28,1,94,6,0,0,367,111,3.81,1.177,7.7,1.1,2.9,9.6,3.36,colege01
6,SP,Clarke Schmidt,28,5,4,.556,2.37,14,14,0,0,0,0,76.0,64,24,20,7,25,0,81,7,0,1,312,173,3.49,1.171,7.6,0.8,3.0,9.6,3.24,schmicl01
7,CL,Clay Holmes,31,3,5,.375,3.28,64,0,49,0,0,29,60.1,59,29,22,4,22,1,66,3,0,4,262,125,3.08,1.343,8.8,0.6,3.3,9.8,3.00,holmecl01
8,RP,Luke Weaver,30,6,3,.667,2.93,61,0,12,0,0,4,83.0,51,28,27,10,26,0,101,4,0,1,327,140,3.38,0.928,5.5,1.1,2.8,11.0,3.88,weavelu01
9,RP,Michael Tonkin,34,3,2,.600,3.38,39,0,15,0,0,2,56.0,44,26,21,5,21,1,57,3,1,3,232,121,3.58,1.161,7.1,0.8,3.4,9.2,2.71,tonkimi01
10,RP,Tommy Kahnle,34,0,1,.000,1.77,47,0,7,0,0,1,40.2,27,14,8,4,18,1,43,2,0,1,169,232,3.81,1.107,6.0,0.9,4.0,9.5,2.39,kahnlto01
11,RP,Caleb Ferguson*,27,1,3,.250,5.13,42,0,12,0,0,1,33.1,34,24,19,5,16,1,41,2,0,2,155,80,4.28,1.500,9.2,1.4,4.3,11.1,2.56,ferguca01
12,,Tim Hill*,34,3,0,1.000,1.93,33,0,5,0,0,0,42.0,33,12,9,2,9,1,17,1,0,0,164,213,3.69,1.000,7.1,0.4,1.9,3.6,1.89,hillti01
13,,Jake Cousins (15-day IL),29,2,1,.667,2.37,37,0,6,0,0,1,38.0,20,14,10,5,20,1,53,5,0,4,155,174,4.06,1.053,4.7,1.2,4.7,12.6,2.65,cousija01
14,,Ian Hamilton,29,0,1,.000,3.89,32,0,5,0,0,1,34.2,36,16,15,1,14,0,38,3,0,0,153,106,2.82,1.442,9.3,0.3,3.6,9.9,2.71,hamilia01
15,,Dennis Santana,28,2,0,1.000,6.26,23,0,7,0,0,2,27.1,27,19,19,2,10,0,19,1,2,1,115,66,3.93,1.354,8.9,0.7,3.3,6.3,1.90,santade01
16,,Victor González*,28,2,1,.667,3.86,27,0,8,0,0,2,23.1,13,12,10,3,13,0,11,3,0,0,97,107,5.95,1.114,5.0,1.2,5.0,4.2,0.85,gonzavi02
17,,Ron Marinaccio,28,1,0,1.000,3.86,16,0,4,0,0,0,23.1,18,11,10,4,10,0,25,3,1,0,99,107,4.92,1.200,6.9,1.5,3.9,9.6,2.50,marinro01
18,,Will Warren (40-man),25,0,3,.000,9.55,5,5,0,0,0,0,21.2,31,24,23,4,9,0,26,1,2,0,104,43,4.55,1.846,12.9,1.7,3.7,10.8,2.89,warrewi01
19,,Cody Poteet (40-man),29,3,0,1.000,2.14,4,4,0,0,0,0,21.0,15,6,5,2,7,0,13,1,0,1,82,193,4.31,1.048,6.4,0.9,3.0,5.6,1.86,poteeco01
20,,Mark Leiter Jr.,33,2,1,.667,5.68,18,0,3,0,0,0,19.0,26,14,12,6,6,1,27,2,0,3,92,73,5.69,1.684,12.3,2.8,2.8,12.8,4.50,leitema02
21,,Tim Mayza*,32,0,1,.000,3.94,13,0,4,0,0,0,16.0,15,9,7,1,2,0,10,1,0,0,64,106,3.29,1.063,8.4,0.6,1.1,5.6,5.00,mayzati01
22,,Yoendrys Gómez (40-man),24,0,0,,3.97,5,0,3,0,0,0,11.1,11,5,5,2,7,0,10,1,0,1,54,106,5.81,1.588,8.7,1.6,5.6,7.9,1.43,gomezyo01
23,,Nick Burdi,31,1,0,1.000,1.86,12,0,1,0,0,0,9.2,5,2,2,1,9,0,12,2,0,3,45,227,5.44,1.448,4.7,0.9,8.4,11.2,1.33,burdini01
24,,Phil Bickford,28,0,0,,8.64,8,0,4,0,0,0,8.1,10,9,8,1,1,0,6,1,0,0,39,49,4.01,1.320,10.8,1.1,1.1,6.5,6.00,bickfph01
25,,Josh Maciejewski*,28,0,0,,2.57,4,0,4,0,0,0,7.0,4,2,2,1,2,0,7,0,0,0,27,167,3.88,0.857,5.1,1.3,2.6,9.0,3.50,maciejo01
26,,Enyel De Los Santos,28,0,0,,14.21,5,0,1,0,0,0,6.1,13,10,10,1,3,0,5,3,0,0,37,30,6.48,2.526,18.5,1.4,4.3,7.1,1.67,delosen01
27,,Jonathan Loáisiga (60-day IL),29,1,0,1.000,0.00,3,0,0,0,0,0,4.0,7,0,0,0,1,0,3,0,0,0,20,,2.42,2.000,15.8,0.0,2.3,6.8,3.00,loaisjo01
28,,Jose Trevino,31,0,0,,13.50,2,0,2,0,0,0,2.0,5,3,3,0,2,0,0,0,0,0,13,36,6.17,3.500,22.5,0.0,9.0,0.0,0.00,trevijo01
29,,Scott Effross (40-man),30,0,0,,9.00,2,0,0,0,0,0,2.0,3,2,2,1,1,0,2,0,0,0,9,54,9.17,2.000,13.5,4.5,4.5,9.0,2.00,effrosc01
30,,Anthony Misiewicz*,29,0,0,,0.00,1,0,0,0,0,0,1.0,2,0,0,0,1,0,1,0,0,0,6,,4.17,3.000,18.0,0.0,9.0,9.0,1.00,misiean01
31,,Clayton Beeter,25,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,,3.17,1.000,9.0,0.0,0.0,0.0,,beetecl01
32,,Clayton Andrews*,27,0,0,,27.00,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,1,0,0,3,32,45.17,3.000,27.0,27.0,0.0,27.0,,andrecl02
33,,Oswaldo Cabrera,25,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,3,,21.17,6.000,0.0,0.0,54.0,0.0,0.00,cabreos01
,,Team Totals,30.1,92,64,.590,3.68,156,156,156,0,0,44,1398.2,1221,636,572,170,513,8,1399,86,11,38,5902,111,4.03,1.240,7.9,1.1,3.3,9.0,2.73,-9999
,,Rank in 15 AL teams,,1,15,,4,,,,9,1,3,2,4,6,4,5,11,,3,,,,,,,,,,,,,-9999
