Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Cal Raleigh#,27,148,606,524,68,113,16,0,31,96,6,1,70,171,.216,.312,.424,.736,116,222,7,6,0,6,4,raleica01
2,1B,Ty France,29,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,96,105,11,11,0,1,0,francty01
3,2B,Jorge Polanco#,30,114,453,403,42,83,11,0,15,43,4,2,44,134,.206,.289,.345,.634,87,139,16,4,0,2,2,polanjo01
4,SS,J.P. Crawford*,29,100,432,373,52,76,15,2,9,37,5,0,52,96,.204,.310,.327,.637,90,122,4,6,0,1,0,crawfjp01
5,3B,Josh Rojas*,30,138,468,414,48,94,19,2,8,29,10,4,46,106,.227,.308,.341,.648,92,141,6,3,1,2,1,rojasjo01
6,LF,Luke Raley*,29,134,445,397,56,96,18,2,21,55,11,2,26,133,.242,.316,.456,.772,125,181,2,18,2,2,0,raleylu01
7,CF,Julio Rodríguez,23,138,591,545,71,150,17,0,19,65,24,5,38,150,.275,.328,.411,.739,118,224,10,6,0,2,1,rodriju01
8,RF,Mitch Haniger,33,118,414,373,42,78,12,0,12,44,0,0,38,122,.209,.285,.338,.623,84,126,10,2,0,1,0,hanigmi01
9,DH,Mitch Garver,33,110,418,355,35,60,17,0,13,49,0,0,53,131,.169,.287,.327,.614,82,116,8,7,0,3,0,garvemi01
10,UT,Dylan Moore,31,130,426,357,51,74,23,4,10,42,31,6,49,122,.207,.322,.378,.701,107,135,8,14,1,5,0,mooredy01
11,OF,Víctor Robles,27,73,243,211,37,71,17,0,4,23,28,1,15,41,.336,.403,.474,.877,159,100,2,10,5,2,0,roblevi01
12,LF,Randy Arozarena,29,50,222,184,31,44,12,0,5,22,4,2,26,61,.239,.365,.386,.751,123,71,4,11,0,1,0,arozara01
13,RF,Dominic Canzone* (40-man),26,67,188,168,20,33,7,0,8,17,1,0,18,53,.196,.271,.381,.652,91,64,5,0,0,2,2,canzodo01
14,1B,Justin Turner,39,44,177,148,22,39,6,0,5,19,0,0,19,33,.264,.362,.405,.767,127,60,1,6,0,4,2,turneju01
15,3B,Luis Urías,27,38,104,90,11,16,6,0,4,16,0,0,8,34,.178,.288,.378,.666,96,34,2,6,0,0,0,uriaslu01
16,SS,Leo Rivas#,26,38,82,70,9,17,1,1,0,8,3,0,9,24,.243,.338,.286,.623,88,20,1,1,2,0,0,rivasle01
17,2B,Ryan Bliss (40-man),24,33,71,63,10,14,3,1,2,9,5,3,5,22,.222,.290,.397,.687,101,25,1,1,2,0,0,blissry01
18,1B,Tyler Locklear (40-man),23,16,49,45,3,7,1,0,2,3,1,0,3,20,.156,.224,.311,.536,57,14,3,1,0,0,0,locklty01
19,LF,Jonatan Clase#,22,19,43,41,4,8,1,0,0,3,3,0,2,14,.195,.233,.220,.452,35,9,1,0,0,0,0,clasejo01
20,C,Seby Zavala,30,18,43,39,4,6,2,0,1,2,0,0,3,16,.154,.214,.282,.496,46,11,2,0,1,0,0,zavalse01
21,UT,Jason Vosler*,30,10,30,28,2,5,1,1,0,3,0,0,2,9,.179,.233,.286,.519,53,8,0,0,0,0,0,vosleja01
22,OF,Sam Haggerty# (60-day IL),30,8,16,15,1,1,0,0,0,1,1,0,1,4,.067,.125,.067,.192,-41,1,0,0,0,0,0,haggesa01
23,OF,Cade Marlowe* (7-day IL),27,8,9,8,1,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,77,2,1,0,0,0,0,marloca01
24,OF,Samad Taylor (40-man),25,3,5,5,2,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,139,2,0,0,0,0,0,taylosa04
25,P,Luis Castillo (15-day IL),31,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,castilu02
26,P,Trent Thornton,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,thorntr01
27,P,Jhonathan Díaz* (40-man),27,0,0,,,,,,,,,,,,,,,,,,,,,,,diazjh01
28,P,Cody Bolton (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,boltoco01
29,P,Bryan Woo,24,0,0,,,,,,,,,,,,,,,,,,,,,,,woobr01
30,P,Gabe Speier*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,speiega01
31,P,Kirby Snead*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,sneadki01
32,P,Gregory Santos,24,0,0,,,,,,,,,,,,,,,,,,,,,,,santogr01
33,P,Eduard Bazardo,28,0,0,,,,,,,,,,,,,,,,,,,,,,,bazared01
34,P,Troy Taylor,22,0,0,,,,,,,,,,,,,,,,,,,,,,,taylotr01
35,P,George Kirby,26,0,0,,,,,,,,,,,,,,,,,,,,,,,kirbyge01
36,P,Tyson Miller,28,0,0,,,,,,,,,,,,,,,,,,,,,,,millety01
37,P,Andrés Muñoz,25,0,0,,,,,,,,,,,,,,,,,,,,,,,munozan01
38,P,Jonathan Hernández,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hernajo02
39,P,Yimi García (60-day IL),33,0,0,,,,,,,,,,,,,,,,,,,,,,,garciyi01
40,P,Collin Snider,28,0,0,,,,,,,,,,,,,,,,,,,,,,,snideco01
41,P,Ryne Stanek,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,stanery01
42,P,Matt Bowman,33,0,0,,,,,,,,,,,,,,,,,,,,,,,bowmama01
43,P,Logan Gilbert,27,0,0,,,,,,,,,,,,,,,,,,,,,,,gilbelo01
