Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Logan Gilbert,27,8,11,.421,3.24,31,31,0,1,0,0,197.0,142,79,71,23,36,1,207,4,0,11,761,113,3.19,0.904,6.5,1.1,1.6,9.5,5.75,gilbelo01
2,SP,George Kirby,26,13,11,.542,3.60,32,32,0,0,0,0,185.0,177,81,74,22,22,0,173,6,1,5,754,102,3.30,1.076,8.6,1.1,1.1,8.4,7.86,kirbyge01
3,SP,Bryce Miller,25,12,8,.600,2.94,31,31,0,0,0,0,180.1,131,62,59,21,45,1,171,3,0,2,704,125,3.58,0.976,6.5,1.0,2.2,8.5,3.80,millebr04
4,SP,Luis Castillo (15-day IL),31,11,12,.478,3.64,30,30,0,0,0,0,175.1,158,73,71,25,47,2,175,5,0,0,719,101,3.91,1.169,8.1,1.3,2.4,9.0,3.72,castilu02
5,SP,Bryan Woo,24,8,3,.727,3.02,21,21,0,0,0,0,116.1,93,41,39,14,12,0,93,3,0,0,453,122,3.52,0.903,7.2,1.1,0.9,7.2,7.75,woobr01
6,SP,Emerson Hancock (40-man),25,4,4,.500,4.72,11,11,0,0,0,0,55.1,57,34,29,10,15,0,36,6,0,0,242,78,5.35,1.301,9.3,1.6,2.4,5.9,2.40,hancoem01
7,CL,Andrés Muñoz,25,3,7,.300,2.16,59,0,40,0,0,22,58.1,30,16,14,6,26,3,76,3,1,3,228,171,3.39,0.960,4.6,0.9,4.0,11.7,2.92,munozan01
8,RP,Trent Thornton,30,4,3,.571,3.71,69,0,16,0,0,1,70.1,63,32,29,8,19,1,74,5,0,4,288,99,3.56,1.166,8.1,1.0,2.4,9.5,3.89,thorntr01
9,RP,Austin Voth,32,2,5,.286,3.75,67,0,17,0,0,0,60.0,45,31,25,9,18,0,59,3,0,0,244,98,4.20,1.050,6.8,1.4,2.7,8.9,3.28,vothau01
10,RP,Ryne Stanek,32,6,3,.667,4.38,46,0,12,0,0,7,39.0,35,21,19,5,17,2,44,2,0,1,172,85,4.04,1.333,8.1,1.2,3.9,10.2,2.59,stanery01
