Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Sean Manaea*,32,12,5,.706,3.29,31,31,0,0,0,0,178.0,127,69,65,20,61,0,183,9,0,3,717,120,3.75,1.056,6.4,1.0,3.1,9.3,3.00,manaese01
2,SP,Luis Severino,30,11,6,.647,3.79,30,30,0,1,1,0,178.0,159,82,75,22,59,0,156,11,2,6,741,104,4.20,1.225,8.0,1.1,3.0,7.9,2.64,severlu01
3,SP,Jose Quintana*,35,10,9,.526,3.74,30,30,0,0,0,0,166.0,145,71,69,22,61,0,126,11,0,7,697,106,4.67,1.241,7.9,1.2,3.3,6.8,2.07,quintjo01
4,SP,David Peterson*,28,9,3,.750,3.08,20,20,0,0,0,0,114.0,109,44,39,8,43,0,93,7,1,4,486,128,3.76,1.333,8.6,0.6,3.4,7.3,2.16,peterda01
5,SP,Tylor Megill,28,4,5,.444,3.98,15,14,0,0,0,0,72.1,62,36,32,6,30,0,83,4,0,4,311,99,3.36,1.272,7.7,0.7,3.7,10.3,2.77,megilty01
6,CL,Edwin Díaz,30,5,4,.556,3.35,52,0,38,0,0,20,51.0,33,21,19,7,18,0,79,3,0,3,203,118,3.09,1.000,5.8,1.2,3.2,13.9,4.39,diazed04
7,RP,Reed Garrett,31,8,5,.615,3.18,52,0,13,0,0,4,56.2,47,24,20,6,28,1,81,2,0,3,240,125,3.27,1.324,7.5,1.0,4.4,12.9,2.89,garrere01
8,RP,Adam Ottavino,38,2,2,.500,4.70,56,0,8,0,0,1,51.2,49,29,27,6,21,1,65,7,0,5,230,84,3.79,1.355,8.5,1.0,3.7,11.3,3.10,ottavad01
9,RP,Danny Young*,30,4,1,.800,4.79,39,0,11,0,0,0,35.2,28,21,19,3,16,1,46,7,0,4,156,83,3.61,1.234,7.1,0.8,4.0,11.6,2.88,youngda02
10,RP,Jake Diekman*,37,2,3,.400,5.63,43,0,10,0,0,4,32.0,23,24,20,7,24,0,40,4,0,2,145,71,6.13,1.469,6.5,2.0,6.8,11.3,1.67,diekmja01
11,,José Buttó,26,7,3,.700,2.60,29,7,5,0,0,3,72.2,41,21,21,6,38,0,77,5,1,2,290,152,3.90,1.087,5.1,0.7,4.7,9.5,2.03,buttojo01
12,,Adrian Houser,31,1,5,.167,5.84,23,7,9,0,0,1,69.1,74,48,45,8,32,0,45,4,0,2,309,68,4.93,1.529,9.6,1.0,4.2,5.8,1.41,housead01
13,,Christian Scott (15-day IL),25,0,3,.000,4.56,9,9,0,0,0,0,47.1,45,24,24,8,12,0,39,2,0,0,197,87,4.60,1.204,8.6,1.5,2.3,7.4,3.25,scottch01
14,,Dedniel Núñez (15-day IL),28,2,0,1.000,2.31,25,0,3,0,0,1,35.0,24,11,9,3,8,1,48,0,2,1,135,172,2.22,0.914,6.2,0.8,2.1,12.3,6.00,nunezde01
15,,Jorge López,31,1,2,.333,3.76,28,0,8,0,0,2,26.1,25,13,11,3,11,1,19,2,0,2,111,106,4.68,1.367,8.5,1.0,3.8,6.5,1.73,lopezjo02
16,,Phil Maton,31,2,1,.667,2.10,28,0,6,0,0,1,25.2,15,6,6,1,6,0,25,3,0,0,100,190,2.78,0.818,5.3,0.4,2.1,8.8,4.17,matonph01
17,,Paul Blackburn (15-day IL),30,1,2,.333,5.18,5,5,0,0,0,0,24.1,31,16,14,4,7,0,21,2,0,0,108,77,4.69,1.562,11.5,1.5,2.6,7.8,3.00,blackpa01
18,,Sean Reid-Foley (60-day IL),28,1,2,.333,1.66,23,0,9,0,0,0,21.2,13,10,4,0,14,0,25,0,0,1,90,241,2.80,1.246,5.4,0.0,5.8,10.4,1.79,reidfse01
19,,Huascar Brazobán,34,0,1,.000,4.82,16,0,3,0,0,0,18.2,14,10,10,1,12,0,15,1,0,3,80,83,4.34,1.393,6.8,0.5,5.8,7.2,1.25,brazohu01
20,,Drew Smith (60-day IL),30,1,1,.500,3.06,19,0,4,0,0,2,17.2,18,7,6,2,9,0,23,0,0,3,79,132,3.56,1.528,9.2,1.0,4.6,11.7,2.56,smithdr01
21,,Ryne Stanek,32,1,0,1.000,6.28,15,0,2,0,0,0,14.1,11,10,10,2,8,0,20,1,0,2,62,64,4.07,1.326,6.9,1.3,5.0,12.6,2.50,stanery01
22,,Alex Young*,30,0,0,,2.84,13,0,6,0,0,0,12.2,10,4,4,1,7,0,11,0,0,0,54,143,4.11,1.342,7.1,0.7,5.0,7.8,1.57,youngal01
23,,Josh Walker*,29,0,0,,5.11,10,0,5,0,0,0,12.1,13,7,7,1,6,0,11,0,1,2,55,80,3.90,1.541,9.5,0.7,4.4,8.0,1.83,walkejo03
24,,Yohan Ramírez,29,0,1,.000,7.56,5,0,1,0,0,0,8.1,11,7,7,1,4,1,11,0,1,3,41,55,3.53,1.800,11.9,1.1,4.3,11.9,2.75,ramiryo01
25,,Brooks Raley* (60-day IL),36,1,0,1.000,0.00,8,0,1,0,0,0,7.0,2,0,0,0,3,0,9,0,0,0,25,,1.88,0.714,2.6,0.0,3.9,11.6,3.00,raleybr01
26,,Michael Tonkin,34,1,2,.333,5.14,5,0,4,0,0,0,7.0,8,10,4,1,2,0,6,3,0,1,35,81,5.45,1.429,10.3,1.3,2.6,7.7,3.00,tonkimi01
27,,Grant Hartwig (40-man),26,0,0,,6.75,4,0,2,0,0,0,6.2,6,6,5,1,4,0,4,2,0,0,31,62,6.62,1.500,8.1,1.4,5.4,5.4,1.00,hartwgr01
28,,Kodai Senga (60-day IL),31,1,0,1.000,3.38,1,1,0,0,0,0,5.1,2,2,2,1,1,0,9,1,0,0,20,125,3.35,0.563,3.4,1.7,1.7,15.2,9.00,sengako01
29,,Tyler Jay*,30,0,0,,7.71,3,0,2,0,0,0,4.2,7,5,4,0,3,0,3,0,0,1,24,55,3.81,2.143,13.5,0.0,5.8,5.8,1.00,jayty01
30,,Cole Sulser,34,0,0,,9.64,4,0,1,0,0,0,4.2,6,5,5,1,3,0,7,0,0,0,23,44,4.88,1.929,11.6,1.9,5.8,13.5,2.33,sulseco01
31,,Ty Adcock,27,0,0,,14.54,3,0,1,0,0,0,4.1,7,7,7,4,2,0,3,0,0,0,21,30,15.17,2.077,14.5,8.3,4.2,6.2,1.50,adcocty01
32,,Joey Lucchesi* (EV-day IL),31,0,1,.000,10.38,1,1,0,0,0,0,4.1,5,5,5,1,4,0,2,0,0,0,21,41,8.01,2.077,10.4,2.1,8.3,4.2,0.50,lucchjo01
33,,Julio Teheran,33,0,0,,13.50,1,1,0,0,0,0,2.2,6,4,4,1,2,0,3,0,0,0,16,33,8.04,3.000,20.3,3.4,6.8,10.1,1.50,teherju01
34,,Eric Orze (40-man),26,0,1,.000,21.60,2,0,0,0,0,0,1.2,3,4,4,1,2,0,1,1,0,0,11,22,15.17,3.000,16.2,5.4,10.8,5.4,0.50,orzeer01
35,,Eddy Alvarez,34,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,1,0,0,5,,4.17,1.000,9.0,0.0,0.0,9.0,,alvared01
36,,Matt Festa,31,0,1,.000,36.00,1,0,1,0,0,0,1.0,4,5,4,0,1,1,1,0,0,0,8,15,4.17,5.000,36.0,0.0,9.0,9.0,1.00,festama01
37,,Luis Torrens,28,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.17,0.000,0.0,0.0,0.0,0.0,,torrelu01
,,Team Totals,30.8,87,69,.558,3.92,156,156,155,1,1,39,1392.1,1184,668,607,159,562,7,1391,93,8,64,5878,101,4.06,1.254,7.7,1.0,3.6,9.0,2.48,-9999
,,Rank in 15 NL teams,,5,11,,6,,,,4,11,7,4,1,6,6,3,15,,4,,,,,,,,,,,,,-9999
