Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,J.T. Realmuto,33,96,402,371,49,99,18,1,14,46,2,2,25,97,.267,.321,.434,.755,110,161,7,5,0,1,1,realmjt01
2,1B,Bryce Harper*,31,141,616,537,83,153,42,0,29,86,7,4,74,133,.285,.372,.525,.897,149,282,18,2,1,2,11,harpebr03
3,2B,Bryson Stott*,26,144,556,491,63,119,18,2,11,54,31,3,53,91,.242,.315,.354,.669,88,174,9,3,0,9,1,stottbr01
4,SS,Trea Turner,31,116,519,485,85,144,24,0,19,59,19,3,27,94,.297,.341,.464,.805,124,225,10,6,0,1,0,turnetr01
5,3B,Alec Bohm,27,139,590,538,62,154,44,2,15,95,5,2,40,83,.286,.339,.459,.798,122,247,18,6,0,6,2,bohmal01
6,LF,Brandon Marsh*,26,131,463,405,55,103,16,3,16,57,18,3,50,150,.254,.335,.427,.763,113,173,2,2,1,5,0,marshbr02
7,CF,Johan Rojas,23,119,360,335,46,81,12,3,3,32,25,4,13,68,.242,.278,.322,.601,69,108,7,4,8,0,0,rojasjo03
8,RF,Nick Castellanos,32,157,645,593,75,148,28,3,22,85,6,2,40,137,.250,.307,.418,.725,102,248,13,10,0,2,2,casteni01
9,DH,Kyle Schwarber*,31,145,670,555,107,139,21,0,37,100,5,3,102,192,.250,.367,.488,.855,138,271,6,5,0,8,4,schwaky01
10,SS,Edmundo Sosa,28,86,264,240,37,63,12,4,7,31,7,1,13,62,.263,.317,.433,.750,108,104,4,7,1,2,0,sosaed01
11,C,Garrett Stubbs*,31,52,180,158,17,32,4,1,1,10,5,0,16,50,.203,.291,.259,.550,57,41,0,4,0,1,0,stubbga01
12,UT,Whit Merrifield,35,53,174,156,21,31,4,1,3,11,11,1,15,19,.199,.277,.295,.572,62,46,2,2,1,0,0,merriwh01
13,OF,Cristian Pache,25,50,118,104,9,21,5,1,0,9,0,0,13,43,.202,.288,.269,.557,59,28,1,0,0,1,0,pachecr01
14,UT,Kody Clemens*,28,38,109,105,15,23,9,1,4,17,0,0,4,26,.219,.248,.438,.686,88,46,2,0,0,0,0,clemeko01
15,UT,Weston Wilson,29,37,90,81,13,23,6,1,3,8,3,0,7,27,.284,.344,.494,.838,132,40,2,1,0,1,0,wilsowe01
16,LF,Austin Hays (10-day IL),28,19,69,67,7,17,5,0,1,5,2,0,0,16,.254,.275,.373,.648,80,25,1,2,0,0,0,haysau01
17,OF,David Dahl*,30,19,62,58,6,12,2,0,3,8,0,0,3,21,.207,.242,.397,.638,76,23,0,0,0,1,0,dahlda01
18,C,Rafael Marchán# (40-man),25,17,56,51,8,15,4,0,3,6,0,0,3,8,.294,.345,.549,.894,146,28,1,1,1,0,0,marchra01
19,OF,Cal Stevenson*,27,18,27,24,2,6,3,0,0,6,0,0,3,4,.250,.333,.375,.708,99,9,1,0,0,0,0,steveca01
20,IF,Buddy Kennedy (40-man),25,7,12,10,1,2,1,0,0,2,0,0,2,2,.200,.333,.300,.633,81,3,0,0,0,0,0,kennebu01
21,C,Aramis Garcia,31,3,7,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,1,0,0,0,0,garciar01
22,P,Kolby Allard*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,allarko01
23,P,Michael Mercado (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,mercami01
24,P,Cristopher Sánchez*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,sanchcr01
25,P,Jeff Hoffman,31,0,0,,,,,,,,,,,,,,,,,,,,,,,hoffmje02
26,P,Carlos Estévez,31,0,0,,,,,,,,,,,,,,,,,,,,,,,estevca01
27,P,Spencer Turnbull (60-day IL),31,0,0,,,,,,,,,,,,,,,,,,,,,,,turnbsp01
28,P,Seth Johnson (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,johnsse01
29,P,Ranger Suárez*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,suarera01
30,P,Max Lazar (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,lazarma01
31,P,Matt Strahm,32,0,0,,,,,,,,,,,,,,,,,,,,,,,strahma01
32,P,Aaron Nola,31,0,0,,,,,,,,,,,,,,,,,,,,,,,nolaaa01
33,P,Connor Brogdon,29,0,0,,,,,,,,,,,,,,,,,,,,,,,brogdco01
34,P,José Ruiz,29,0,0,,,,,,,,,,,,,,,,,,,,,,,ruizjo01
35,P,Ricardo Pinto,30,0,0,,,,,,,,,,,,,,,,,,,,,,,pintori01
36,P,Yunior Marte (7-day IL),29,0,0,,,,,,,,,,,,,,,,,,,,,,,marteyu01
37,P,José Alvarado*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,alvarjo03
38,P,Orion Kerkering,23,0,0,,,,,,,,,,,,,,,,,,,,,,,kerkeor01
39,P,Tyler Gilbert*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,gilbety01
40,P,Tanner Banks,32,0,0,,,,,,,,,,,,,,,,,,,,,,,banksta01
41,P,Zack Wheeler*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,wheelza01
42,P,Gregory Soto*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,sotogr01
43,P,Nick Nelson,28,0,0,,,,,,,,,,,,,,,,,,,,,,,nelsoni01
44,P,Seranthony Domínguez,29,0,0,,,,,,,,,,,,,,,,,,,,,,,dominse01
45,P,Taijuan Walker#,31,0,0,,,,,,,,,,,,,,,,,,,,,,,walketa01
46,P,Tyler Phillips (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,phillty01
