Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Aaron Nola,31,13,8,.619,3.52,32,32,0,1,1,0,194.1,180,81,76,29,50,0,190,3,0,2,797,116,3.97,1.184,8.3,1.3,2.3,8.8,3.80,nolaaa01
2,SP,Zack Wheeler,34,16,7,.696,2.56,31,31,0,0,0,0,193.2,136,60,55,19,50,0,213,8,0,8,764,159,3.14,0.960,6.3,0.9,2.3,9.9,4.26,wheelza01
3,SP,Cristopher Sánchez*,27,11,9,.550,3.25,30,30,0,2,1,0,177.0,177,72,64,10,43,0,149,0,1,7,732,125,2.95,1.243,9.0,0.5,2.2,7.6,3.47,sanchcr01
4,SP,Ranger Suárez*,28,12,7,.632,3.15,26,26,0,1,1,0,148.2,133,57,52,13,39,1,143,5,2,1,611,129,3.27,1.157,8.1,0.8,2.4,8.7,3.67,suarera01
5,SP,Taijuan Walker,31,3,7,.300,6.91,18,15,1,0,0,0,82.0,103,65,63,24,34,0,57,3,0,0,369,59,6.93,1.671,11.3,2.6,3.7,6.3,1.68,walketa01
6,CL,José Alvarado*,29,2,5,.286,4.22,64,0,21,0,0,13,59.2,48,30,28,6,28,1,62,1,0,4,252,97,3.85,1.274,7.2,0.9,4.2,9.4,2.21,alvarjo03
7,RP,Jeff Hoffman,31,3,2,.600,1.68,66,0,20,0,0,10,64.1,44,16,12,5,16,1,85,3,0,5,255,243,2.42,0.933,6.2,0.7,2.2,11.9,5.31,hoffmje02
8,RP,Orion Kerkering,23,5,3,.625,2.35,62,2,6,0,0,0,61.1,48,20,16,2,15,0,73,8,0,1,248,174,2.33,1.027,7.0,0.3,2.2,10.7,4.87,kerkeor01
9,RP,Matt Strahm*,32,6,2,.750,1.93,64,0,10,0,0,3,60.2,35,14,13,4,11,1,76,5,0,2,229,212,2.31,0.758,5.2,0.6,1.6,11.3,6.91,strahma01
10,RP,José Ruiz,29,4,1,.800,3.59,49,0,15,0,0,0,47.2,45,21,19,7,16,1,49,1,0,0,201,114,4.09,1.280,8.5,1.3,3.0,9.3,3.06,ruizjo01
