Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jake Rogers,29,98,325,299,41,59,15,1,10,36,1,0,21,96,.197,.255,.355,.610,71,106,6,3,0,2,1,rogerja03
2,1B,Spencer Torkelson,24,86,361,326,42,71,20,1,9,33,0,0,29,98,.218,.289,.368,.657,86,120,6,4,0,1,0,torkesp01
3,2B,Colt Keith*,22,142,540,501,53,131,15,3,13,59,7,1,35,107,.261,.311,.381,.692,96,191,4,2,0,2,1,keithco01
4,SS,Javier Báez (60-day IL),31,80,289,272,25,50,12,0,6,37,8,1,12,69,.184,.221,.294,.516,45,80,10,2,0,3,1,baezja01
5,3B,Gio Urshela,32,92,325,300,25,73,10,1,5,37,0,0,19,49,.243,.286,.333,.619,76,100,12,1,0,5,1,urshegi01
6,LF,Riley Greene*,23,131,560,489,80,128,25,6,24,72,4,2,63,149,.262,.351,.485,.835,135,237,2,5,0,2,3,greenri03
7,CF,Parker Meadows*,24,76,274,248,35,58,11,6,8,27,9,4,23,69,.234,.300,.423,.724,103,105,0,1,1,1,0,meadopa01
8,RF,Wenceel Pérez#,24,106,401,369,50,88,15,5,9,34,9,5,28,85,.238,.293,.379,.673,90,140,5,1,2,1,0,perezwe01
9,DH,Justyn-Henry Malloy,24,68,224,198,18,41,7,1,8,20,1,1,22,81,.207,.295,.374,.668,89,74,2,3,0,1,0,malloju02
10,UT,Matt Vierling,27,139,549,505,76,130,27,5,16,56,6,1,37,115,.257,.310,.426,.735,107,215,9,3,0,4,0,vierlma01
11,UT,Mark Canha,35,93,377,320,42,74,17,0,7,38,4,0,42,79,.231,.337,.350,.687,97,112,9,11,0,4,2,canhama01
12,IF,Zach McKinstry*,29,113,316,288,31,63,14,5,4,23,16,0,24,69,.219,.282,.344,.625,77,99,3,2,0,2,0,mckinza01
13,RF,Kerry Carpenter*,26,82,279,248,36,72,16,5,17,52,0,2,21,71,.290,.351,.601,.952,164,149,4,4,0,3,1,carpeke01
14,2B,Andy Ibáñez,31,94,234,215,29,53,8,1,5,32,2,3,14,62,.247,.299,.363,.662,88,78,2,3,0,2,0,ibanean01
15,C,Carson Kelly,29,60,203,179,21,43,4,1,7,29,0,0,17,40,.240,.325,.391,.716,103,70,3,6,0,1,0,kellyca02
16,SS,Trey Sweeney*,24,31,100,93,9,23,5,0,4,17,2,0,5,27,.247,.290,.430,.720,102,40,2,1,0,1,0,sweentr01
17,3B,Jace Jung*,23,31,89,76,14,19,5,0,0,3,0,1,13,28,.250,.360,.316,.675,95,24,3,0,0,0,0,jungja01
18,LF,Akil Baddoo* (40-man),25,31,82,73,7,10,2,2,2,5,1,0,8,27,.137,.220,.301,.521,47,22,0,0,0,1,0,baddoak01
19,C,Dillon Dingler,25,24,80,77,2,11,4,2,1,10,0,0,3,27,.143,.175,.286,.461,28,22,2,0,0,0,0,dingldi01
20,1B,Bligh Madris* (40-man),28,21,75,67,8,18,3,0,1,5,0,0,6,20,.269,.324,.358,.683,95,24,0,0,0,1,0,madribl01
21,SS,Ryan Kreidler (40-man),26,35,65,59,9,7,0,0,1,2,5,3,6,19,.119,.200,.169,.369,7,10,2,0,0,0,0,kreidry01
22,OF,Ryan Vilade (40-man),25,17,49,45,5,8,0,0,1,5,0,0,2,12,.178,.208,.244,.453,29,11,2,0,1,1,0,viladry01
23,IF,Buddy Kennedy,25,6,13,10,2,2,0,0,1,4,1,0,2,4,.200,.308,.500,.808,125,5,0,0,0,1,0,kennebu01
24,P,Tarik Skubal,27,0,0,,,,,,,,,,,,,,,,,,,,,,,skubata01
25,P,Shelby Miller,33,0,0,,,,,,,,,,,,,,,,,,,,,,,millesh01
26,P,Ty Madden,24,0,0,,,,,,,,,,,,,,,,,,,,,,,maddety01
27,P,Alex Lange (40-man),28,0,0,,,,,,,,,,,,,,,,,,,,,,,langeal01
28,P,Jack Flaherty,28,0,0,,,,,,,,,,,,,,,,,,,,,,,flaheja01
29,P,Casey Mize,27,0,0,,,,,,,,,,,,,,,,,,,,,,,mizeca01
30,P,Andrew Chafin,34,0,0,,,,,,,,,,,,,,,,,,,,,,,chafian01
31,P,Will Vest,29,0,0,,,,,,,,,,,,,,,,,,,,,,,vestwi01
32,P,Joey Wentz*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,wentzjo01
33,P,Tyler Holton*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,holtoty01
34,P,Beau Brieske,26,0,0,,,,,,,,,,,,,,,,,,,,,,,briesbe01
35,P,Kenta Maeda,36,0,0,,,,,,,,,,,,,,,,,,,,,,,maedake01
36,P,Jason Foley,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,foleyja01
37,P,Mason Englert# (40-man),24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,englema01
38,P,Bryan Sammons* (40-man),29,0,0,,,,,,,,,,,,,,,,,,,,,,,sammobr01
39,P,Brant Hurter*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,hurtebr01
40,P,Reese Olson,24,0,0,,,,,,,,,,,,,,,,,,,,,,,olsonre01
41,P,Matt Manning (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,,mannima02
42,P,Sean Guenther*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,guentse01
43,P,Alex Faedo (60-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,faedoal01
44,P,Keider Montero,23,0,0,,,,,,,,,,,,,,,,,,,,,,,monteke01
45,P,Ricky Vanasco (40-man),25,0,0,,,,,,,,,,,,,,,,,,,,,,,vanasri01
46,P,Brenan Hanifee,26,0,0,,,,,,,,,,,,,,,,,,,,,,,hanifbr01
47,P,Easton Lucas*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,lucasea01
,,Team Totals,26.8,156,5810,5257,660,1232,235,45,159,636,76,24,452,1403,.234,.299,.387,.686,94,2034,88,52,4,39,10,-9999
,,Rank in 15 AL teams,,,,7,8,10,9,1,12,,13,3,12,11,10,14,10,10,,10,,10,,8,,-9999
