Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Tarik Skubal*,27,17,4,.810,2.48,30,30,0,0,0,0,185.0,140,54,51,15,34,0,221,9,0,2,730,166,2.53,0.941,6.8,0.7,1.7,10.8,6.50,skubata01
2,SP,Reese Olson,24,4,8,.333,3.49,21,21,0,0,0,0,108.1,96,49,42,7,33,0,98,4,0,4,449,118,3.22,1.191,8.0,0.6,2.7,8.1,2.97,olsonre01
3,SP,Kenta Maeda,36,3,6,.333,5.93,28,16,2,0,0,0,107.2,119,75,71,21,30,0,91,4,0,3,464,69,4.96,1.384,9.9,1.8,2.5,7.6,3.03,maedake01
4,SP,Jack Flaherty,28,7,5,.583,2.95,18,18,0,0,0,0,106.2,83,38,35,15,19,0,133,3,0,4,415,140,3.12,0.956,7.0,1.3,1.6,11.2,7.00,flaheja01
5,SP,Casey Mize,27,2,6,.250,4.36,20,20,0,0,0,0,99.0,116,54,48,11,27,0,74,2,1,1,434,95,3.99,1.444,10.5,1.0,2.5,6.7,2.74,mizeca01
6,SP,Keider Montero,23,6,6,.500,4.86,17,15,0,1,1,0,92.2,92,51,50,18,28,0,73,3,0,2,383,85,5.12,1.295,8.9,1.7,2.7,7.1,2.61,monteke01
7,CL,Jason Foley,28,3,6,.333,3.22,67,0,39,0,0,26,58.2,51,28,21,5,20,2,44,2,1,1,246,128,3.90,1.210,7.8,0.8,3.1,6.8,2.20,foleyja01
8,RP,Tyler Holton*,28,7,2,.778,2.25,64,9,14,0,0,8,92.0,57,25,23,7,16,1,75,4,0,0,346,183,3.18,0.793,5.6,0.7,1.6,7.3,4.69,holtoty01
9,RP,Will Vest,29,3,4,.429,2.93,67,0,14,0,0,2,67.2,60,23,22,3,18,2,60,3,0,4,280,141,2.90,1.153,8.0,0.4,2.4,8.0,3.33,vestwi01
10,RP,Beau Brieske,26,3,4,.429,3.65,43,11,11,0,0,0,61.2,53,29,25,3,30,2,65,2,0,0,262,113,3.25,1.346,7.7,0.4,4.4,9.5,2.17,briesbe01
11,RP,Shelby Miller,33,6,8,.429,4.53,51,0,18,0,0,2,55.2,41,31,28,9,13,0,49,5,0,1,225,91,4.48,0.970,6.6,1.5,2.1,7.9,3.77,millesh01
12,,Alex Faedo (60-day IL),28,5,3,.625,3.61,37,6,7,0,0,0,57.1,49,24,23,9,28,0,55,3,0,4,246,115,4.91,1.343,7.7,1.4,4.4,8.6,1.96,faedoal01
13,,Joey Wentz*,26,0,2,.000,5.37,38,0,16,0,0,1,55.1,60,35,33,8,27,1,60,3,2,3,254,77,4.50,1.572,9.8,1.3,4.4,9.8,2.22,wentzjo01
14,,Brant Hurter*,25,5,1,.833,2.61,9,1,1,0,0,0,41.1,32,12,12,3,6,0,37,0,1,0,161,159,2.75,0.919,7.0,0.7,1.3,8.1,6.17,hurtebr01
15,,Andrew Chafin*,34,3,2,.600,3.16,41,0,11,0,0,1,37.0,35,16,13,2,16,2,50,1,0,3,162,131,2.54,1.378,8.5,0.5,3.9,12.2,3.13,chafian01
16,,Matt Manning (40-man),26,0,1,.000,4.88,5,5,0,0,0,0,27.2,31,15,15,3,12,0,23,0,0,1,123,85,4.21,1.554,10.1,1.0,3.9,7.5,1.92,mannima02
17,,Bryan Sammons* (40-man),29,1,1,.500,3.62,6,0,0,0,0,0,27.1,16,11,11,6,9,0,18,1,0,0,104,115,5.80,0.915,5.3,2.0,3.0,5.9,2.00,sammobr01
18,,Brenan Hanifee,26,1,1,.500,2.05,19,2,1,0,0,0,26.1,25,7,6,2,5,0,23,0,0,0,108,203,2.98,1.139,8.5,0.7,1.7,7.9,4.60,hanifbr01
19,,Mason Englert (40-man),24,1,0,1.000,5.40,12,1,5,0,0,0,21.2,23,15,13,4,5,1,16,1,0,2,93,77,4.92,1.292,9.6,1.7,2.1,6.6,3.20,englema01
20,,Ty Madden,24,1,1,.500,3.60,5,1,0,0,0,0,20.0,21,9,8,1,7,0,15,1,0,0,87,116,3.52,1.400,9.5,0.5,3.2,6.8,2.14,maddety01
21,,Alex Lange (40-man),28,0,3,.000,4.34,21,0,10,0,0,2,18.2,16,16,9,0,17,0,21,2,0,4,90,97,3.97,1.768,7.7,0.0,8.2,10.1,1.24,langeal01
22,,Sean Guenther*,28,2,0,1.000,1.00,15,0,3,0,0,0,18.0,9,2,2,0,2,0,8,2,0,0,64,420,2.94,0.611,4.5,0.0,1.0,4.0,4.00,guentse01
23,,Easton Lucas*,27,1,0,1.000,5.40,3,0,0,0,0,0,3.1,3,2,2,0,2,0,2,1,0,0,16,85,4.67,1.500,8.1,0.0,5.4,5.4,1.00,lucasea01
24,,Zach McKinstry,29,0,0,,9.00,3,0,3,0,0,0,2.0,1,2,2,1,1,0,0,0,0,0,8,54,11.17,1.000,4.5,4.5,4.5,0.0,0.00,mckinza01
25,,Ricky Vanasco (40-man),25,1,0,1.000,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,6,,3.17,0.000,0.0,0.0,0.0,0.0,,vanasri01
,,Team Totals,27.7,82,74,.526,3.64,156,156,155,1,1,42,1393.0,1229,623,563,153,405,11,1311,56,5,39,5756,113,3.70,1.173,7.9,1.0,2.6,8.5,3.24,-9999
,,Rank in 15 AL teams,,5,10,,2,,,,4,9,6,4,5,3,2,2,2,,10,,,,,,,,,,,,,-9999
