Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Christian Vázquez,33,90,304,285,28,65,10,0,7,27,3,1,10,63,.228,.253,.337,.590,64,96,11,1,4,4,0,vazquch01
2,1B,Carlos Santana#,38,144,568,502,60,118,25,0,22,65,4,0,58,98,.235,.320,.416,.737,105,209,11,6,0,2,3,santaca01
3,2B,Edouard Julien*,25,90,289,255,35,53,9,0,8,21,6,0,32,98,.208,.301,.337,.638,80,86,2,2,0,0,0,julieed01
4,SS,Carlos Correa,29,82,347,303,52,93,18,2,13,52,0,0,36,56,.307,.382,.508,.890,148,154,5,3,0,4,2,correca01
5,3B,José Miranda,26,120,426,398,44,114,28,4,9,49,2,2,18,65,.286,.324,.445,.769,114,177,13,6,0,4,1,miranjo01
6,LF,Manuel Margot,29,124,329,301,36,72,16,1,4,31,5,0,21,51,.239,.293,.339,.632,77,102,10,3,1,3,0,margoma01
7,CF,Byron Buxton,30,98,369,337,59,92,24,3,17,54,7,2,20,97,.273,.331,.513,.844,133,173,3,10,0,2,1,buxtoby01
8,RF,Max Kepler* (10-day IL),31,105,399,368,43,93,21,1,8,42,1,0,22,80,.253,.302,.380,.682,90,140,3,5,0,3,0,keplema01
9,DH,Trevor Larnach*,27,109,389,345,58,87,17,0,15,50,4,1,39,88,.252,.332,.432,.764,113,149,12,3,0,2,0,larnatr01
10,UT,Willi Castro#,27,153,615,539,87,134,30,5,12,59,14,9,51,148,.249,.336,.390,.725,104,210,8,21,1,3,0,castrwi01
11,C,Ryan Jeffers,27,118,447,395,54,89,22,0,20,62,3,0,31,93,.225,.300,.433,.733,103,171,9,14,1,6,0,jeffery01
12,3B,Royce Lewis,25,76,300,269,37,67,16,0,16,46,0,0,26,70,.249,.310,.487,.797,120,131,4,0,0,5,2,lewisro02
13,OF,Matt Wallner*,26,74,260,219,26,57,17,1,13,37,3,0,24,94,.260,.373,.525,.898,149,115,2,16,0,1,0,wallnma01
14,OF,Austin Martin (40-man),25,89,242,218,41,55,16,1,1,16,7,3,20,43,.252,.321,.349,.669,89,76,4,2,2,0,0,martiau01
15,2B,Kyle Farmer,33,101,227,201,26,46,13,1,5,25,3,5,18,46,.229,.308,.378,.686,92,76,5,6,0,2,1,farmeky01
16,UT,Alex Kirilloff* (60-day IL),26,57,178,159,20,32,8,3,5,20,0,0,15,47,.201,.270,.384,.653,81,61,5,1,0,3,0,kirilal01
17,SS,Brooks Lee#,23,44,166,155,9,33,4,1,3,25,3,0,9,25,.213,.253,.310,.563,57,48,6,0,0,2,1,leebr02
18,CF,DaShawn Keirsey* (40-man),27,4,11,10,0,1,0,0,0,0,0,0,0,1,.100,.182,.100,.282,-17,1,0,1,0,0,0,keirsda01
19,OF,Michael Helman (40-man),28,7,8,8,2,3,2,0,0,0,0,0,0,3,.375,.375,.625,1.000,175,5,0,0,0,0,0,helmami01
20,3B,Diego Castillo,26,4,8,6,3,2,1,0,0,2,0,0,2,1,.333,.500,.500,1.000,183,3,0,0,0,0,0,castidi02
21,DH,Jair Camargo (40-man),24,5,7,6,1,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-55,0,0,0,0,0,0,camarja01
22,P,Simeon Woods Richardson,23,0,0,,,,,,,,,,,,,,,,,,,,,,,woodssi01
23,P,Bailey Ober,28,0,0,,,,,,,,,,,,,,,,,,,,,,,oberba01
24,P,Trevor Richards,31,0,0,,,,,,,,,,,,,,,,,,,,,,,richatr01
25,P,Cole Sands,26,0,0,,,,,,,,,,,,,,,,,,,,,,,sandsco01
26,P,Griffin Jax,29,0,0,,,,,,,,,,,,,,,,,,,,,,,jaxgr01
27,P,Joe Ryan (60-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,ryanjo04
28,P,Louie Varland*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,varlalo01
29,P,Diego Castillo (40-man),30,0,0,,,,,,,,,,,,,,,,,,,,,,,castidi01
30,P,Jorge Alcalá (40-man),28,0,0,,,,,,,,,,,,,,,,,,,,,,,alcaljo01
31,P,Michael Tonkin,34,0,0,,,,,,,,,,,,,,,,,,,,,,,tonkimi01
32,P,Caleb Boushley,30,0,0,,,,,,,,,,,,,,,,,,,,,,,boushca01
33,P,Daniel Duarte (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,,duartda01
34,P,Chris Paddack (60-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,paddach01
35,P,Jay Jackson,36,0,0,,,,,,,,,,,,,,,,,,,,,,,jacksja01
